j0,j1,j2,j3,j4,j5
0.608039,-0.810841,1.02923,-0.230466,-0.10333,-2.3449
0.60134,-0.832349,1.06725,-0.235165,-0.0869694,-2.35593
0.595362,-0.856506,1.10809,-0.258997,-0.0707077,-2.34925
0.589136,-0.878934,1.14683,-0.27301,-0.0546847,-2.35139
0.582909,-0.901363,1.18556,-0.287023,-0.0386617,-2.35353
0.57118,-0.945394,1.25933,-0.315487,-0.00562647,-2.35475
0.559924,-0.989227,1.33123,-0.343316,0.028438,-2.35497
0.553011,-1.01579,1.37584,-0.359883,0.0482274,-2.35636
0.546812,-1.041,1.41616,-0.374861,0.0686821,-2.3565
0.540918,-1.06599,1.4556,-0.389381,0.0893587,-2.35642
0.535321,-1.09072,1.49406,-0.403192,0.110237,-2.35634
0.530041,-1.1152,1.53158,-0.416281,0.131323,-2.35629
0.525096,-1.13945,1.56819,-0.42867,0.152621,-2.35626
0.520506,-1.16347,1.60389,-0.440373,0.174139,-2.35625
0.512471,-1.21088,1.67267,-0.46176,0.217863,-2.35623
0.506103,-1.25748,1.738,-0.480493,0.262565,-2.35621
0.501575,-1.3033,1.79991,-0.4966,0.30833,-2.35621
0.499071,-1.3483,1.85842,-0.510111,0.355255,-2.3562
0.498778,-1.39244,1.91351,-0.521063,0.403454,-2.3562
0.500891,-1.43564,1.96516,-0.529516,0.453056,-2.3562
0.50561,-1.47778,2.01334,-0.535557,0.504204,-2.3562
0.513133,-1.51873,2.05804,-0.539306,0.557051,-2.3562
0.523658,-1.55831,2.09923,-0.540924,0.611763,-2.3562
0.537373,-1.59629,2.13691,-0.540616,0.668508,-2.3562
0.554452,-1.63245,2.17108,-0.538629,0.727454,-2.3562
0.575048,-1.66652,2.20178,-0.535253,0.788758,-2.35619
0.599279,-1.69822,2.22904,-0.530812,0.852557,-2.35619
0.627218,-1.72726,2.25292,-0.525656,0.918959,-2.35619
0.658884,-1.75337,2.27351,-0.520146,0.988024,-2.35619
0.694226,-1.77627,2.2909,-0.514638,1.05976,-2.35619
0.733116,-1.79574,2.30521,-0.509464,1.13409,-2.35619
0.775339,-1.81161,2.31653,-0.504919,1.21088,-2.35619
0.820595,-1.82377,2.32501,-0.501242,1.28991,-2.35619
0.870393,-1.82948,2.32893,-0.49945,1.37277,-2.35619
0.919922,-1.83494,2.33266,-0.497717,1.45488,-2.35619
0.946276,-1.83495,2.33266,-0.497715,1.49737,-2.35619
0.97263,-1.83495,2.33266,-0.497712,1.53986,-2.35619
0.998984,-1.83496,2.33267,-0.49771,1.58235,-2.35619
1.00606,-1.83496,2.33267,-0.497709,1.59377,-2.35619
1.03269,-1.83236,2.33091,-0.498549,1.63596,-2.35619
1.0485,-1.83082,2.32987,-0.499048,1.66101,-2.35619
1.10104,-1.82431,2.32543,-0.501126,1.74395,-2.35619
1.12769,-1.81896,2.32181,-0.502853,1.78573,-2.35619
1.15433,-1.8136,2.31819,-0.504579,1.82751,-2.35619
1.17212,-1.81003,2.31577,-0.505732,1.8554,-2.35619
1.19875,-1.80436,2.31193,-0.50757,1.89712,-2.35619
1.202,-1.80367,2.31146,-0.507794,1.9022,-2.35619
1.24719,-1.79055,2.30205,-0.511489,1.97385,-2.35619
1.29131,-1.77573,2.29115,-0.515412,2.04438,-2.35619
1.33411,-1.7594,2.27883,-0.519425,2.11354,-2.35619
1.37538,-1.74172,2.26513,-0.523398,2.18115,-2.35619
1.41491,-1.7229,2.25008,-0.527181,2.24701,-2.35619
1.45163,-1.70366,2.23356,-0.529895,2.31008,-2.35619
