j0,j1,j2,j3,j4,j5
-1.76972,-2.63783,-0.478265,-3.16286,2.86721,-2.35145
-1.78232,-2.62043,-0.51197,-3.14784,2.87387,-2.35289
-1.79688,-2.6003,-0.550944,-3.13046,2.88157,-2.35454
-1.82678,-2.56268,-0.622495,-3.09655,2.8972,-2.35455
-1.84203,-2.54259,-0.661035,-3.07883,2.90521,-2.35538
-1.87316,-2.50566,-0.730501,-3.04649,2.92127,-2.35559
-1.9053,-2.46927,-0.798144,-3.01534,2.93762,-2.35571
-1.93842,-2.43323,-0.864379,-2.98521,2.95421,-2.35579
-1.97203,-2.39525,-0.934782,-2.95318,2.97115,-2.35622
-2.00679,-2.35956,-0.998964,-2.92469,2.98801,-2.35622
-2.04245,-2.32386,-1.06236,-2.89701,3.00492,-2.35623
-2.07903,-2.28805,-1.12507,-2.87011,3.02184,-2.35624
-2.11652,-2.25208,-1.18717,-2.844,3.03868,-2.35626
-2.15494,-2.21588,-1.24873,-2.81867,3.05539,-2.35629
-2.19433,-2.1794,-1.30976,-2.79418,3.07189,-2.35635
-2.23472,-2.1426,-1.37026,-2.77059,3.08809,-2.35647
-2.27617,-2.10551,-1.43013,-2.74838,3.10391,-2.35702
-2.31882,-2.0692,-1.48759,-2.73406,3.11928,-2.36387
-2.36286,-2.03242,-1.5446,-2.72158,3.13411,-2.37161
-2.40816,-1.99255,-1.60488,-2.69598,3.14817,-2.36642
-2.45476,-1.95212,-1.66445,-2.67087,3.16133,-2.36044
-2.50287,-1.91174,-1.72229,-2.65018,3.17342,-2.35722
-2.55272,-1.87133,-1.77843,-2.63404,3.18426,-2.35681
-2.60455,-1.83035,-1.83351,-2.61977,3.19362,-2.35664
-2.65861,-1.78877,-1.88742,-2.60735,3.20122,-2.35655
-2.71524,-1.74659,-1.94001,-2.5969,3.20674,-2.35652
-2.77481,-1.70387,-1.99108,-2.58856,3.20976,-2.35651
-2.83778,-1.66071,-2.04036,-2.58246,3.20982,-2.35654
-2.90471,-1.61727,-2.08758,-2.57873,3.20636,-2.35658
-2.97627,-1.57335,-2.13281,-2.57545,3.19867,-2.35462
-3.01456,-1.55498,-2.15095,-2.59144,3.19257,-2.36981
