j0,j1,j2,j3,j4,j5
3.70842,-2.30229,-1.27057,0.431251,-2.90906,0.785385
3.68956,-2.28218,-1.30658,0.447145,-2.92468,0.785374
3.67071,-2.26209,-1.34231,0.462776,-2.94029,0.78537
3.6519,-2.24196,-1.37785,0.478183,-2.95587,0.785364
3.63312,-2.22177,-1.41322,0.49336,-2.97144,0.785356
3.61437,-2.20153,-1.44842,0.5083,-2.98697,0.785347
3.59566,-2.18122,-1.48344,0.522996,-3.00248,0.785333
3.57698,-2.16084,-1.51828,0.537436,-3.01796,0.785315
3.55835,-2.14037,-1.55294,0.551608,-3.03341,0.785287
3.52121,-2.09918,-1.62171,0.579079,-3.06417,0.785176
3.48426,-2.05755,-1.68977,0.605131,-3.09474,0.784798
3.44752,-2.01466,-1.75826,0.625964,-3.12509,0.780039
3.42922,-1.99204,-1.79362,0.631163,-3.14018,0.772494
3.39273,-1.95068,-1.85706,0.661835,-3.17019,0.781083
3.35665,-1.90789,-1.92068,0.686479,-3.1998,0.784894
3.32088,-1.86378,-1.9841,0.706068,-3.229,0.785177
3.28548,-1.81883,-2.04628,0.723394,-3.25774,0.78527
3.25046,-1.77296,-2.10706,0.738336,-3.28597,0.785314
3.21586,-1.72604,-2.16626,0.750646,-3.3136,0.785338
3.18173,-1.67793,-2.22373,0.760023,-3.34058,0.785352
3.14809,-1.6285,-2.27927,0.766134,-3.3668,0.785362
3.11497,-1.57755,-2.33268,0.768612,-3.39217,0.785369
3.08239,-1.52491,-2.38377,0.767067,-3.41661,0.785374
3.05035,-1.47037,-2.43233,0.761092,-3.44,0.785379
3.01883,-1.41373,-2.47816,0.750272,-3.46222,0.785382
2.98778,-1.35477,-2.52104,0.734204,-3.48314,0.785385
2.95709,-1.29331,-2.56081,0.712518,-3.50262,0.785388
2.92662,-1.22922,-2.59728,0.684904,-3.52047,0.78539
2.89611,-1.16245,-2.63032,0.651164,-3.53645,0.785392
2.86382,-1.0905,-2.6584,0.607302,-3.54887,0.78539
2.83211,-1.01937,-2.68512,0.562883,-3.56057,0.785387
2.81515,-0.981995,-2.69681,0.537197,-3.56489,0.785382
2.79819,-0.944617,-2.70851,0.511511,-3.56921,0.785376
2.79786,-0.943892,-2.70874,0.511013,-3.56929,0.785376
