j0,j1,j2,j3,j4,j5
-1.98876,-2.51689,-0.595754,3.11263,2.73231,-2.35621
-2.01163,-2.48099,-0.662907,3.14374,2.75154,-2.35635
-2.02682,-2.46085,-0.699429,3.16015,2.76446,-2.35633
-2.0423,-2.44032,-0.736656,3.17687,2.77762,-2.3563
-2.05778,-2.41979,-0.773884,3.19359,2.79079,-2.35628
-2.07325,-2.39926,-0.811112,3.21031,2.80396,-2.35625
-2.08873,-2.37872,-0.84834,3.22703,2.81712,-2.35623
-2.11989,-2.33885,-0.917663,3.25647,2.84379,-2.35624
-2.13564,-2.31816,-0.954737,3.27288,2.85722,-2.35622
-2.16724,-2.27788,-1.02402,3.30188,2.88432,-2.35622
-2.19916,-2.23738,-1.09243,3.32978,2.91178,-2.35622
-2.23137,-2.19654,-1.16009,3.35661,2.93957,-2.35622
-2.24762,-2.17551,-1.19686,3.37236,2.95347,-2.35621
-2.28018,-2.13418,-1.26363,3.39779,2.98166,-2.35621
-2.31299,-2.09228,-1.32983,3.42208,3.01013,-2.35622
-2.34603,-2.0497,-1.39552,3.44516,3.03889,-2.35625
-2.37929,-2.00634,-1.46069,3.46692,3.06791,-2.3563
-2.41275,-1.96212,-1.52528,3.48694,3.0972,-2.35666
-2.44646,-1.91801,-1.58781,3.4992,3.12678,-2.36282
-2.48034,-1.87065,-1.65265,3.52036,3.15661,-2.35914
-2.51432,-1.82229,-1.71644,3.53836,3.18661,-2.35656
-2.54843,-1.77291,-1.77889,3.55165,3.21684,-2.35634
-2.58268,-1.72186,-1.84057,3.56234,3.2473,-2.35628
-2.61705,-1.66886,-1.90139,3.57019,3.27798,-2.35625
-2.65152,-1.61365,-1.96123,3.57484,3.3089,-2.35624
-2.68607,-1.55591,-2.01994,3.57581,3.34005,-2.35623
-2.72069,-1.49527,-2.07729,3.57254,3.37145,-2.35622
-2.75533,-1.43134,-2.13306,3.56438,3.40311,-2.35622
-2.77265,-1.398,-2.16025,3.55823,3.41905,-2.35622
-2.78995,-1.36365,-2.18692,3.55055,3.43507,-2.35622
-2.80725,-1.32824,-2.21303,3.54125,3.45117,-2.35621
-2.82451,-1.29178,-2.23844,3.53021,3.46736,-2.35621
