j0,j1,j2,j3,j4,j5
-0.0169366,-1.09228,1.5675,5.80798,-5.73681,-2.3562
-0.0204884,-1.11831,1.60812,5.79338,-5.71745,-2.3562
-0.0245547,-1.14309,1.64559,5.78068,-5.69929,-2.3562
-0.0278373,-1.16769,1.68251,5.76837,-5.68048,-2.3562
-0.0307834,-1.19229,1.71882,5.75666,-5.66124,-2.3562
-0.0354145,-1.24087,1.78865,5.73541,-5.62195,-2.3562
-0.0382342,-1.2886,1.85474,5.71705,-5.58152,-2.3562
-0.0390444,-1.33549,1.91711,5.70156,-5.53983,-2.3562
-0.0376377,-1.3815,1.97576,5.68893,-5.49678,-2.3562
-0.0337986,-1.42659,2.03067,5.67911,-5.45221,-2.3562
-0.0273053,-1.47063,2.08181,5.67201,-5.40598,-2.3562
-0.0179324,-1.51351,2.12916,5.66754,-5.3579,-2.3562
-0.00545475,-1.55503,2.1727,5.66552,-5.30779,-2.3562
0.0103469,-1.59498,2.21243,5.66574,-5.25546,-2.35619
0.0296784,-1.6331,2.24836,5.66792,-5.20072,-2.35619
0.0527227,-1.66909,2.28053,5.67175,-5.14337,-2.35619
0.0796278,-1.70263,2.30898,5.67683,-5.08325,-2.35619
0.110493,-1.73339,2.3338,5.68277,-5.02025,-2.35619
0.145353,-1.76103,2.35509,5.68913,-4.95427,-2.35619
0.184163,-1.78526,2.37296,5.69549,-4.88531,-2.35619
0.226787,-1.8058,2.38754,5.70144,-4.81346,-2.35619
0.272987,-1.82245,2.399,5.70664,-4.73888,-2.35619
0.325055,-1.83221,2.40555,5.70985,-4.6592,-2.35619
0.376583,-1.84169,2.41184,5.71303,-4.5806,-2.35619
0.404585,-1.84345,2.413,5.71364,-4.53924,-2.35619
0.432586,-1.84522,2.41417,5.71424,-4.49787,-2.35619
0.460588,-1.84698,2.41533,5.71484,-4.45651,-2.35619
0.469551,-1.84755,2.4157,5.71503,-4.44327,-2.35619
0.497835,-1.84767,2.41581,5.71505,-4.40204,-2.35619
0.518083,-1.84776,2.41589,5.71506,-4.37252,-2.35619
0.55493,-1.845,2.41407,5.71411,-4.3196,-2.35619
0.592458,-1.84079,2.4113,5.71267,-4.26593,-2.35619
0.630513,-1.83516,2.40757,5.71077,-4.21164,-2.35619
0.668931,-1.82813,2.40287,5.70845,-4.1569,-2.35619
0.707544,-1.81976,2.39719,5.70575,-4.10185,-2.35619
0.746183,-1.81008,2.39053,5.70274,-4.04666,-2.35619
0.78468,-1.79917,2.38289,5.69947,-3.99147,-2.35619
0.822871,-1.78709,2.37426,5.69601,-3.93645,-2.35619
0.860602,-1.7739,2.36464,5.69244,-3.88174,-2.35619
0.897725,-1.75968,2.35404,5.68883,-3.82748,-2.35619
0.934106,-1.74451,2.34244,5.68525,-3.7738,-2.35619
0.969625,-1.72846,2.32986,5.68178,-3.72081,-2.35619
1.00417,-1.71161,2.31631,5.67849,-3.66861,-2.35619
1.03766,-1.69403,2.30178,5.67544,-3.6173,-2.35619
1.07001,-1.67579,2.28628,5.6727,-3.56696,-2.35619
1.10115,-1.65696,2.26983,5.67032,-3.51764,-2.35619
1.13105,-1.63762,2.25245,5.66836,-3.46939,-2.35619
1.15965,-1.6178,2.23413,5.66687,-3.42226,-2.35619
1.18695,-1.59759,2.2149,5.66588,-3.37627,-2.35618
1.21292,-1.57701,2.19478,5.66543,-3.33143,-2.35618
1.23757,-1.55613,2.17378,5.66556,-3.28776,-2.35617
1.2609,-1.53498,2.15193,5.66628,-3.24525,-2.35615
1.28293,-1.51359,2.12922,5.66766,-3.2039,-2.35609
1.30368,-1.49195,2.10563,5.66998,-3.16369,-2.35572
1.32317,-1.46987,2.08093,5.67423,-3.1246,-2.35409
1.34147,-1.4484,2.05629,5.67539,-3.08657,-2.3561
1.35855,-1.42642,2.03047,5.67918,-3.04966,-2.35615
1.37448,-1.40434,2.0039,5.68365,-3.0138,-2.35618
1.3893,-1.38218,1.9766,5.68877,-2.97895,-2.35618
1.40306,-1.35994,1.94861,5.69452,-2.94509,-2.35619
1.41579,-1.33765,1.91994,5.7009,-2.91218,-2.35619
1.42755,-1.3153,1.89059,5.7079,-2.88019,-2.35619
1.43686,-1.29289,1.8596,5.71648,-2.85058,-2.35619
1.44826,-1.27051,1.83002,5.72368,-2.81889,-2.35619
1.45675,-1.24801,1.79833,5.73287,-2.79002,-2.35619
1.46525,-1.22551,1.76664,5.74206,-2.76116,-2.35619
1.46885,-1.21597,1.7532,5.74596,-2.74893,-2.35619
1.47519,-1.19336,1.71978,5.75677,-2.72221,-2.35619
1.48153,-1.17074,1.68635,5.76758,-2.69549,-2.35619
1.48788,-1.14813,1.65292,5.7784,-2.66877,-2.35619
1.49023,-1.13973,1.64051,5.78241,-2.65885,-2.35619
