j0,j1,j2,j3,j4,j5
5.2329,-1.57201,-1.93993,-2.77125,-1.75641,-2.35619
5.25915,-1.55224,-1.96012,-2.77082,-1.70349,-2.35619
5.28622,-1.53358,-1.97805,-2.77156,-1.65088,-2.35619
5.3144,-1.51572,-1.99494,-2.77253,-1.5972,-2.35619
5.34381,-1.4987,-2.0107,-2.77379,-1.54228,-2.35619
5.37443,-1.48258,-2.02531,-2.7753,-1.48615,-2.35619
5.40619,-1.46747,-2.03873,-2.77699,-1.42887,-2.35619
5.43901,-1.45344,-2.05095,-2.7788,-1.3705,-2.35619
5.47279,-1.4406,-2.06194,-2.78065,-1.31113,-2.35619
5.5074,-1.42904,-2.07166,-2.78248,-1.25088,-2.35619
5.54271,-1.41887,-2.08009,-2.78423,-1.18987,-2.35619
5.57853,-1.41018,-2.08719,-2.78581,-1.12826,-2.35619
5.61469,-1.40306,-2.09294,-2.78718,-1.06623,-2.35619
5.65098,-1.39761,-2.0973,-2.78828,-1.00397,-2.35619
5.68718,-1.39388,-2.10025,-2.78906,-0.941699,-2.35619
5.72308,-1.39196,-2.10175,-2.78948,-0.879629,-2.35619
5.75843,-1.39187,-2.1018,-2.78952,-0.817986,-2.35619
5.79303,-1.39365,-2.10036,-2.78918,-0.75699,-2.35619
5.82667,-1.39729,-2.09742,-2.78848,-0.696853,-2.35619
5.85914,-1.40279,-2.09298,-2.78742,-0.637772,-2.35619
5.89028,-1.4101,-2.08703,-2.78606,-0.579924,-2.35619
5.91995,-1.41915,-2.07959,-2.78445,-0.52346,-2.35619
5.94803,-1.42987,-2.07066,-2.78266,-0.468504,-2.35619
5.97444,-1.44217,-2.06026,-2.78076,-0.415152,-2.35619
5.99913,-1.45594,-2.04841,-2.77884,-0.363469,-2.35619
6.02206,-1.47107,-2.03516,-2.77697,-0.313496,-2.35618
6.04325,-1.48742,-2.02053,-2.77525,-0.265247,-2.35618
6.0627,-1.50489,-2.00457,-2.77375,-0.218716,-2.35617
6.08047,-1.52335,-1.98732,-2.77255,-0.173876,-2.35616
6.0966,-1.54268,-1.96883,-2.77173,-0.130688,-2.35614
6.11116,-1.56279,-1.94914,-2.77136,-0.0891009,-2.35609
6.12422,-1.58359,-1.92828,-2.77159,-0.0490538,-2.35592
6.13586,-1.60544,-1.90582,-2.77456,-0.0104794,-2.35356
6.14617,-1.62743,-1.88269,-2.77636,0.0267241,-2.3529
6.16308,-1.67154,-1.83454,-2.77718,0.0971637,-2.35611
6.17558,-1.71744,-1.78208,-2.78368,0.162756,-2.35617
6.18428,-1.76411,-1.7263,-2.79279,0.22408,-2.35618
6.18971,-1.81127,-1.66747,-2.80445,0.281612,-2.35619
6.19234,-1.85874,-1.6058,-2.81865,0.335771,-2.35619
6.19139,-1.907,-1.53909,-2.8371,0.385704,-2.35619
6.19016,-1.95481,-1.4728,-2.85557,0.434855,-2.35619
6.18837,-1.97915,-1.43751,-2.86653,0.458075,-2.35619
6.18657,-2.00348,-1.40222,-2.87748,0.481295,-2.35619
6.18478,-2.02781,-1.36693,-2.88844,0.504515,-2.35619
6.18426,-2.03477,-1.35684,-2.89157,0.511153,-2.35619
6.17918,-2.07839,-1.29051,-2.91428,0.54944,-2.35619
6.17265,-2.12337,-1.21882,-2.94099,0.585319,-2.35619
6.16623,-2.16724,-1.14907,-2.96687,0.62052,-2.35619
6.15924,-2.21128,-1.07734,-2.99457,0.653957,-2.35619
6.15539,-2.2341,-1.03904,-3.01005,0.669992,-2.35619
6.15153,-2.25693,-1.00073,-3.02553,0.686028,-2.35619
6.1507,-2.26187,-0.99245,-3.02887,0.689494,-2.35619
6.1468,-2.28455,-0.953952,-3.04468,0.70492,-2.35619
6.1429,-2.30724,-0.915453,-3.06049,0.720346,-2.35619
6.14209,-2.31199,-0.907398,-3.0638,0.723573,-2.35619
