j0,j1,j2,j3,j4,j5
0.249912,-0.766724,0.910324,6.1397,-0.120343,3.92687
0.23864,-0.797478,0.964981,6.11598,-0.10548,3.92669
0.227303,-0.827432,1.01762,6.09337,-0.0904836,3.92662
0.215923,-0.856799,1.06861,6.07188,-0.0753548,3.92649
0.20451,-0.885667,1.11812,6.05147,-0.0600999,3.92625
0.193074,-0.914083,1.16626,6.03228,-0.0447251,3.92572
0.181626,-0.941714,1.21248,6.01623,-0.0292357,3.92317
0.170181,-0.968021,1.25595,6.00643,-0.0136439,3.91583
0.158757,-0.994039,1.29835,5.99789,0.00202322,3.90798
0.147364,-1.02218,1.3435,5.97825,0.0177528,3.91061
0.136006,-1.05211,1.39084,5.94932,0.0336159,3.92212
0.124642,-1.08026,1.43472,5.93001,0.0496296,3.92571
0.113306,-1.10782,1.47695,5.91454,0.065754,3.92651
0.10202,-1.13526,1.51827,5.90044,0.0819818,3.92672
0.0907982,-1.16271,1.55888,5.88719,0.0983113,3.92681
0.0796518,-1.1902,1.59881,5.8747,0.114743,3.92686
0.0685932,-1.21777,1.63809,5.86296,0.131276,3.9269
0.0580457,-1.24457,1.67547,5.85237,0.147318,3.9269
0.0476335,-1.27125,1.71197,5.84254,0.163379,3.92692
0.0373625,-1.29802,1.74781,5.83345,0.179507,3.92693
0.0173606,-1.35172,1.81731,5.81764,0.211869,3.92695
-0.00182646,-1.40576,1.88389,5.80508,0.24438,3.92696
-0.020072,-1.46021,1.9475,5.79592,0.277063,3.92697
-0.0372352,-1.51517,2.00807,5.79031,0.309959,3.92697
-0.0531582,-1.5707,2.0655,5.78839,0.343127,3.92698
-0.0676621,-1.62681,2.11969,5.79031,0.376651,3.92698
-0.0805418,-1.68349,2.17052,5.79617,0.410646,3.92698
-0.0915596,-1.74068,2.21787,5.806,0.445264,3.92699
-0.100436,-1.79823,2.26162,5.81979,0.480702,3.92699
-0.106842,-1.8559,2.30167,5.83741,0.517213,3.92699
-0.110383,-1.91334,2.33794,5.85859,0.555114,3.92699
-0.110594,-1.97007,2.37036,5.8829,0.594796,3.92699
-0.106927,-2.02545,2.39892,5.90972,0.63673,3.92699
-0.0987517,-2.07869,2.42364,5.93823,0.681468,3.92699
-0.0853751,-2.12886,2.44462,5.96742,0.729629,3.92699
-0.0660783,-2.17495,2.462,5.99613,0.781865,3.92699
-0.0401925,-2.21598,2.47603,6.02313,0.838799,3.92699
0.000943641,-2.24698,2.48543,6.04473,0.909074,3.92698
0.0397103,-2.27693,2.49433,6.06579,0.975561,3.92698
0.0664658,-2.2873,2.49711,6.07337,1.0157,3.92697
0.0932213,-2.29766,2.4999,6.08095,1.05585,3.92696
0.119977,-2.30803,2.50268,6.08853,1.09599,3.92695
0.138627,-2.31525,2.50463,6.09382,1.12397,3.92694
0.149503,-2.31903,2.50562,6.09659,1.14005,3.92694
0.182691,-2.32357,2.50676,6.09999,1.18553,3.92696
0.219387,-2.32642,2.50746,6.10213,1.2348,3.92698
0.259657,-2.32743,2.50772,6.10288,1.28791,3.92699
0.303466,-2.32645,2.50748,6.10213,1.34483,3.92701
0.350665,-2.32337,2.50674,6.09981,1.4054,3.92702
0.400985,-2.31816,2.50545,6.09588,1.46934,3.92703
0.454045,-2.31079,2.50359,6.09038,1.53625,3.92704
0.509369,-2.30133,2.50115,6.08337,1.60566,3.92704
0.566412,-2.28985,2.4981,6.07495,1.677,3.92704
0.624594,-2.27649,2.49442,6.06527,1.74969,3.92704
0.683331,-2.2614,2.49011,6.05448,1.82314,3.92704
0.742064,-2.24472,2.48516,6.04277,1.89677,3.92703
0.800283,-2.22664,2.47954,6.03031,1.97008,3.92703
0.857538,-2.20733,2.47327,6.01726,2.04261,3.92702
0.913228,-2.18708,2.46623,6.00404,2.11376,3.92699
