j0,j1,j2,j3,j4,j5
-2.68062,-1.78128,-1.95609,-5.68741,1.62928,0.785398
-2.65969,-1.76355,-1.97878,-5.68245,1.58593,0.785398
-2.63651,-1.74515,-2.00171,-5.67792,1.53902,0.785398
-2.61263,-1.72768,-2.02293,-5.67416,1.49204,0.785398
-2.58769,-1.71083,-2.04308,-5.67087,1.44403,0.785398
-2.56164,-1.69462,-2.06211,-5.66804,1.39495,0.785398
-2.53452,-1.67911,-2.08001,-5.66566,1.34482,0.785398
-2.50634,-1.66435,-2.09673,-5.66369,1.29365,0.785398
-2.47717,-1.65042,-2.11227,-5.66209,1.24147,0.785398
-2.44705,-1.63737,-2.12658,-5.66083,1.18834,0.785398
-2.41605,-1.62528,-2.13963,-5.65986,1.1343,0.785398
-2.38426,-1.61424,-2.15139,-5.65915,1.07943,0.785398
-2.35179,-1.6043,-2.16181,-5.65866,1.02383,0.785398
-2.31874,-1.59557,-2.17087,-5.65833,0.96759,0.785398
-2.28525,-1.58811,-2.17853,-5.65814,0.910841,0.785398
-2.25147,-1.582,-2.18473,-5.65804,0.853718,0.785398
-2.21755,-1.57731,-2.18946,-5.65801,0.796367,0.785398
-2.18367,-1.5741,-2.19267,-5.65801,0.73895,0.785398
-2.15,-1.57242,-2.19434,-5.65802,0.681635,0.785398
-2.11671,-1.57231,-2.19443,-5.65804,0.624593,0.785398
-2.08398,-1.57379,-2.19292,-5.65807,0.567996,0.785398
-2.05198,-1.57688,-2.18979,-5.6581,0.512015,0.785398
-2.02088,-1.58156,-2.18504,-5.65817,0.45681,0.785398
-1.99082,-1.58782,-2.17866,-5.65831,0.402529,0.785398
-1.96193,-1.59559,-2.17065,-5.65854,0.349308,0.785398
-1.93431,-1.60484,-2.16102,-5.65891,0.297263,0.785398
-1.90807,-1.61549,-2.1498,-5.65949,0.246491,0.785399
-1.88326,-1.62747,-2.13701,-5.6603,0.197069,0.7854
-1.85993,-1.64067,-2.12268,-5.66143,0.149053,0.785403
-1.83811,-1.65502,-2.10686,-5.66291,0.10248,0.785409
-1.8178,-1.6704,-2.08959,-5.66481,0.0573696,0.78543
-1.799,-1.68668,-2.07098,-5.66741,0.0137243,0.78569
-1.78167,-1.70384,-2.051,-5.67041,-0.0284666,0.78587
-1.76579,-1.72188,-2.02957,-5.67333,-0.0692268,0.785406
-1.7513,-1.74051,-2.00702,-5.67726,-0.108593,0.785411
-1.73814,-1.75974,-1.98328,-5.68177,-0.146603,0.785404
-1.72627,-1.77949,-1.95841,-5.68688,-0.183304,0.785402
-1.71561,-1.7997,-1.93246,-5.69262,-0.218745,0.785401
-1.70611,-1.82031,-1.90549,-5.69897,-0.25298,0.7854
-1.6977,-1.84128,-1.87755,-5.70595,-0.286061,0.785399
-1.6903,-1.86254,-1.84868,-5.71356,-0.318041,0.785399
-1.68387,-1.88406,-1.81893,-5.72179,-0.348971,0.785399
-1.67833,-1.90582,-1.78833,-5.73063,-0.3789,0.785399
-1.67501,-1.92833,-1.75508,-5.74137,-0.406494,0.785398
-1.6673,-1.97259,-1.69057,-5.76162,-0.462433,0.785398
-1.66491,-1.99519,-1.65653,-5.77307,-0.488782,0.785398
-1.66429,-2.00105,-1.64769,-5.77604,-0.495624,0.785398
-1.66284,-2.02367,-1.61286,-5.78824,-0.520618,0.785398
-1.66139,-2.04629,-1.57804,-5.80045,-0.545611,0.785398
-1.65994,-2.06891,-1.54322,-5.81266,-0.570604,0.785398
-1.6598,-2.07109,-1.53986,-5.81383,-0.573015,0.785398
-1.65984,-2.11072,-1.47643,-5.83762,-0.612712,0.785398
-1.66111,-2.15052,-1.41141,-5.86284,-0.650396,0.785398
-1.6634,-2.19051,-1.3448,-5.88947,-0.68621,0.785398
-1.66657,-2.23072,-1.27659,-5.91747,-0.720263,0.785398
-1.66902,-2.25252,-1.23802,-5.93424,-0.736071,0.785398
-1.67305,-2.29318,-1.1675,-5.9641,-0.768005,0.785398
-1.67765,-2.33414,-1.09528,-5.99536,-0.79817,0.785398
-1.6803,-2.35575,-1.05632,-6.01271,-0.812557,0.785398
-1.6837,-2.38336,-1.00654,-6.03488,-0.830941,0.785398
-1.68862,-2.42196,-0.936405,-6.06641,-0.855754,0.785398
-1.69373,-2.46134,-0.863981,-6.09946,-0.879357,0.785398
-1.69646,-2.48253,-0.824319,-6.11793,-0.890724,0.785398
-1.69919,-2.50373,-0.784657,-6.13639,-0.902092,0.785398
-1.70192,-2.52492,-0.744995,-6.15486,-0.913459,0.785398
-1.70323,-2.53505,-0.726037,-6.16369,-0.918893,0.785398
