j0,j1,j2,j3,j4,j5
4.15412,-2.46911,-0.798835,3.26791,-2.91291,-2.35623
4.1509,-2.44098,-0.850757,3.29168,-2.895,-2.35625
4.14777,-2.4144,-0.899387,3.31374,-2.87698,-2.35624
4.14483,-2.38872,-0.945958,3.33464,-2.85876,-2.35623
4.14211,-2.36383,-0.990712,3.35451,-2.84035,-2.35623
4.1396,-2.33962,-1.03385,3.37344,-2.82175,-2.35622
4.13732,-2.31602,-1.07554,3.39153,-2.80296,-2.35622
4.13528,-2.29295,-1.11591,3.40884,-2.78399,-2.35621
4.13348,-2.27037,-1.15508,3.42544,-2.76482,-2.35621
4.13194,-2.24823,-1.19313,3.44135,-2.74547,-2.35621
4.13066,-2.22649,-1.23016,3.45664,-2.72592,-2.35621
4.12894,-2.18408,-1.30136,3.48543,-2.68624,-2.3562
4.12839,-2.1429,-1.36914,3.51203,-2.64577,-2.3562
4.12908,-2.1028,-1.4338,3.53659,-2.60447,-2.3562
4.1311,-2.06364,-1.4956,3.55924,-2.56232,-2.3562
4.13452,-2.02532,-1.55475,3.58006,-2.51925,-2.3562
4.1394,-1.98775,-1.61139,3.59913,-2.47525,-2.3562
4.14585,-1.95086,-1.66564,3.61649,-2.43023,-2.3562
4.15393,-1.91459,-1.71762,3.6322,-2.38416,-2.3562
4.16372,-1.87891,-1.76739,3.64629,-2.33696,-2.3562
4.1753,-1.84377,-1.81502,3.6588,-2.28858,-2.3562
4.18877,-1.80916,-1.86058,3.66974,-2.23892,-2.3562
4.20419,-1.77506,-1.9041,3.67916,-2.18793,-2.3562
4.22165,-1.74146,-1.94563,3.68708,-2.13552,-2.3562
4.24123,-1.70835,-1.98519,3.69354,-2.08161,-2.35619
4.26301,-1.67575,-2.02282,3.69857,-2.02612,-2.35619
4.28705,-1.64368,-2.05853,3.70221,-1.96896,-2.35619
4.31343,-1.61217,-2.09235,3.70451,-1.91006,-2.35619
4.34221,-1.58125,-2.12429,3.70554,-1.84934,-2.35619
4.37343,-1.55099,-2.15437,3.70536,-1.78673,-2.35619
4.40713,-1.52145,-2.1826,3.70406,-1.72216,-2.35619
4.44333,-1.49271,-2.209,3.70172,-1.65561,-2.35619
4.48201,-1.46488,-2.23357,3.69845,-1.58703,-2.35619
4.52316,-1.43806,-2.25632,3.69438,-1.51643,-2.35619
4.56671,-1.41241,-2.27724,3.68965,-1.44383,-2.35619
4.61255,-1.38805,-2.29636,3.68441,-1.36929,-2.35619
4.66055,-1.36519,-2.31365,3.67884,-1.2929,-2.35619
4.7105,-1.34399,-2.32912,3.67311,-1.21481,-2.35619
4.76324,-1.32691,-2.34098,3.66789,-1.13413,-2.35619
4.81587,-1.30923,-2.35322,3.66245,-1.05367,-2.35619
4.84232,-1.2997,-2.35975,3.65945,-1.01333,-2.35619
4.86967,-1.29381,-2.36359,3.6574,-0.972125,-2.35619
4.89702,-1.28791,-2.36743,3.65534,-0.930916,-2.35619
4.92437,-1.28201,-2.37127,3.65328,-0.889707,-2.35619
4.95172,-1.27612,-2.3751,3.65122,-0.848499,-2.35619
4.96964,-1.27225,-2.37762,3.64987,-0.821501,-2.35619
4.99921,-1.26809,-2.38025,3.64834,-0.776927,-2.35619
5.02873,-1.26482,-2.38231,3.64713,-0.732295,-2.35619
5.05813,-1.26248,-2.38377,3.64625,-0.687675,-2.35619
5.08731,-1.2611,-2.38462,3.64573,-0.643144,-2.35619
5.114,-1.26371,-2.38303,3.64674,-0.600981,-2.35619
5.1444,-1.2614,-2.38445,3.64585,-0.555098,-2.35619
5.17082,-1.26507,-2.3822,3.64727,-0.512893,-2.35619
5.19725,-1.26874,-2.37996,3.64869,-0.470689,-2.35619
5.22367,-1.27241,-2.37771,3.65011,-0.428484,-2.35619
5.2501,-1.27608,-2.37547,3.65154,-0.386279,-2.35618
5.27191,-1.27911,-2.37361,3.65271,-0.351443,-2.35618
5.30261,-1.28804,-2.36787,3.65589,-0.299739,-2.35618
5.33145,-1.29851,-2.36101,3.6595,-0.249841,-2.35617
5.35842,-1.31045,-2.35303,3.66344,-0.201751,-2.35616
5.38351,-1.32373,-2.34396,3.66762,-0.155449,-2.35613
5.40675,-1.33824,-2.33377,3.67188,-0.110902,-2.35606
5.42811,-1.35332,-2.3223,3.67529,-0.0681311,-2.35587
