j0,j1,j2,j3,j4,j5
-2.54603,-1.78748,-2.03313,-2.46258,-1.85359,3.92699
-2.5353,-1.77386,-2.05037,-2.45896,-1.8294,3.92699
-2.51979,-1.75417,-2.07529,-2.45373,-1.79442,3.92699
-2.50428,-1.73448,-2.10021,-2.4485,-1.75945,3.92699
-2.48485,-1.71511,-2.12282,-2.44526,-1.72088,3.92699
-2.46848,-1.69575,-2.14681,-2.44063,-1.68538,3.92699
-2.44894,-1.6766,-2.16909,-2.4375,-1.64688,3.92699
-2.42832,-1.65767,-2.1906,-2.43491,-1.60748,3.92699
-2.40663,-1.639,-2.21134,-2.43285,-1.56719,3.92699
-2.38386,-1.6206,-2.23128,-2.4313,-1.52601,3.92699
-2.3544,-1.59854,-2.25531,-2.42934,-1.47375,3.92699
-2.32251,-1.57632,-2.27811,-2.42877,-1.41912,3.92699
-2.28853,-1.55444,-2.29983,-2.42892,-1.36245,3.92699
-2.25246,-1.533,-2.32044,-2.42974,-1.3037,3.92699
-2.21425,-1.51212,-2.33989,-2.43118,-1.24284,3.92699
-2.17394,-1.4919,-2.35812,-2.43316,-1.17986,3.92699
-2.13155,-1.47249,-2.37507,-2.43562,-1.11479,3.92699
-2.08718,-1.45405,-2.39069,-2.43845,-1.04769,3.92699
-2.04095,-1.43676,-2.40488,-2.44154,-0.978689,3.92699
-1.99305,-1.42084,-2.41759,-2.44476,-0.907956,3.92699
-1.94376,-1.40649,-2.42873,-2.44797,-0.835734,3.92699
-1.89337,-1.39396,-2.43821,-2.45102,-0.762331,3.92699
-1.84228,-1.38348,-2.44597,-2.45374,-0.68812,3.92699
-1.79092,-1.37528,-2.45192,-2.45599,-0.613535,3.92699
-1.74113,-1.36965,-2.45587,-2.45766,-0.541201,3.92699
-1.69221,-1.36655,-2.45804,-2.45859,-0.469528,3.927
-1.64422,-1.36605,-2.45835,-2.4588,-0.398571,3.927
-1.5976,-1.36821,-2.45674,-2.45824,-0.328769,3.927
-1.55277,-1.37309,-2.45317,-2.45694,-0.26055,3.92701
-1.51011,-1.38063,-2.44762,-2.45497,-0.194293,3.92702
-1.46992,-1.39075,-2.44007,-2.45242,-0.130315,3.92705
-1.43243,-1.40329,-2.43054,-2.44951,-0.0688582,3.92715
-1.39777,-1.41824,-2.41892,-2.44703,-0.0100822,3.92799
-1.36602,-1.43528,-2.40534,-2.44482,0.0459353,3.92924
-1.33715,-1.45307,-2.39071,-2.43909,0.0991861,3.92667
-1.31114,-1.47308,-2.37375,-2.43647,0.149659,3.9271
-1.28786,-1.49419,-2.35525,-2.43377,0.197479,3.92702
-1.26717,-1.51632,-2.33518,-2.4317,0.242761,3.92701
-1.24891,-1.53924,-2.31367,-2.43029,0.285646,3.927
-1.23291,-1.56277,-2.29081,-2.42961,0.326286,3.927
-1.21899,-1.58676,-2.26669,-2.42975,0.364838,3.927
-1.207,-1.61107,-2.24141,-2.43072,0.401458,3.927
-1.19675,-1.63559,-2.21505,-2.43255,0.436298,3.92699
-1.1881,-1.66024,-2.18769,-2.43526,0.4695,3.92699
-1.1809,-1.68495,-2.15942,-2.43882,0.501199,3.92699
-1.17502,-1.70966,-2.13029,-2.44324,0.531519,3.92699
-1.16673,-1.75895,-2.06971,-2.45453,0.588469,3.92699
-1.16236,-1.8079,-2.00637,-2.46892,0.641147,3.92699
-1.16122,-1.85643,-1.9406,-2.48616,0.690208,3.92699
-1.16416,-1.90465,-1.87062,-2.50791,0.734764,3.92699
-1.16727,-1.95246,-1.80113,-2.52959,0.778786,3.92699
-1.17019,-1.9764,-1.76456,-2.54223,0.799309,3.92699
-1.17311,-2.00034,-1.72798,-2.55487,0.819832,3.92699
-1.17604,-2.02427,-1.69141,-2.5675,0.840354,3.92699
-1.17855,-2.0449,-1.65989,-2.57839,0.858041,3.92699
-1.18697,-2.08956,-1.58666,-2.60697,0.892055,3.92699
-1.19516,-2.13348,-1.51493,-2.63477,0.925829,3.92699
-1.20412,-2.17742,-1.44159,-2.66417,0.958211,3.92699
-1.20916,-2.1998,-1.40316,-2.68022,0.973684,3.92699
-1.2142,-2.22219,-1.36474,-2.69627,0.989158,3.92699
-1.21924,-2.24457,-1.32631,-2.71231,1.00463,3.92699
-1.2231,-2.2617,-1.2969,-2.72459,1.01647,3.92699
-1.22905,-2.28924,-1.24819,-2.74576,1.03418,3.92699
