j0,j1,j2,j3,j4,j5
0.0180457,-1.3082,1.55582,-0.247612,-5.70085,-2.3562
0.015091,-1.3355,1.59067,-0.255159,-5.68133,-2.3562
0.010272,-1.38906,1.65666,-0.267596,-5.64171,-2.3562
0.00734078,-1.44153,1.71827,-0.276743,-5.60095,-2.3562
0.00649864,-1.49288,1.77562,-0.282734,-5.55897,-2.3562
0.00795749,-1.54302,1.82875,-0.285729,-5.51563,-2.3562
0.0119369,-1.59182,1.87774,-0.28592,-5.47078,-2.3562
0.0186624,-1.63911,1.92265,-0.283541,-5.42426,-2.3562
0.0283623,-1.68467,1.96355,-0.27887,-5.37589,-2.3562
0.0412636,-1.72829,2.00052,-0.272231,-5.32548,-2.35619
0.0575858,-1.76967,2.03366,-0.263991,-5.27281,-2.35619
0.0775326,-1.80856,2.06311,-0.25455,-5.21771,-2.35619
0.101281,-1.84466,2.089,-0.244337,-5.15997,-2.35619
0.128969,-1.87769,2.11148,-0.233787,-5.09943,-2.35619
0.16068,-1.9074,2.13074,-0.223332,-5.03599,-2.35619
0.19643,-1.93357,2.14695,-0.21338,-4.96957,-2.35619
0.236147,-1.95601,2.16031,-0.204296,-4.90019,-2.35619
0.279665,-1.97461,2.171,-0.196391,-4.82795,-2.35619
0.32671,-1.98929,2.1792,-0.189908,-4.75304,-2.35619
0.354501,-1.99215,2.18075,-0.188603,-4.71162,-2.35619
0.40538,-2.00182,2.18604,-0.184215,-4.63387,-2.35619
0.458827,-2.00749,2.18908,-0.181591,-4.55428,-2.35619
0.487146,-2.00791,2.18931,-0.181395,-4.51308,-2.35619
0.511496,-2.00828,2.1895,-0.181227,-4.47765,-2.35619
0.56692,-2.00736,2.18901,-0.181646,-4.39767,-2.35619
0.595569,-2.0047,2.18759,-0.182887,-4.35682,-2.35619
0.624217,-2.00204,2.18617,-0.184129,-4.31598,-2.35619
0.652866,-1.99938,2.18475,-0.185371,-4.27513,-2.35619
0.669238,-1.99786,2.18394,-0.18608,-4.25178,-2.35619
0.708033,-1.99134,2.18036,-0.189028,-4.19685,-2.35619
0.747089,-1.98351,2.17602,-0.192513,-4.14154,-2.35619
0.786231,-1.97441,2.17091,-0.196493,-4.08601,-2.35619
0.825289,-1.96408,2.165,-0.200917,-4.03043,-2.35619
0.864094,-1.95255,2.15828,-0.20573,-3.97495,-2.35619
0.902485,-1.93988,2.15075,-0.21087,-3.91973,-2.35619
0.940308,-1.92611,2.14239,-0.216273,-3.8649,-2.35619
0.977425,-1.91131,2.13318,-0.221872,-3.8106,-2.35619
1.01371,-1.89552,2.12312,-0.227597,-3.75696,-2.35619
1.04904,-1.87881,2.1122,-0.23338,-3.70407,-2.35619
1.08332,-1.86124,2.10039,-0.23915,-3.65205,-2.35619
1.11647,-1.84287,2.08771,-0.24484,-3.60096,-2.35619
1.14842,-1.82375,2.07414,-0.250383,-3.55088,-2.35619
1.17911,-1.80395,2.05967,-0.255714,-3.50186,-2.35619
1.2085,-1.78352,2.0443,-0.260774,-3.45394,-2.35619
1.23657,-1.76252,2.02804,-0.265504,-3.40716,-2.35619
1.26329,-1.74101,2.01087,-0.269851,-3.36154,-2.35618
1.28867,-1.71903,1.99282,-0.273765,-3.31709,-2.35618
1.3127,-1.69664,1.97387,-0.277199,-3.27381,-2.35617
1.3354,-1.67387,1.95403,-0.280105,-3.23169,-2.35614
1.35678,-1.65076,1.9333,-0.282395,-3.19073,-2.35605
1.37688,-1.62706,1.91142,-0.282796,-3.1509,-2.35463
1.39572,-1.60356,1.88911,-0.284652,-3.11217,-2.3553
1.41334,-1.57988,1.86599,-0.286039,-3.07454,-2.35613
1.42976,-1.55585,1.84187,-0.285996,-3.038,-2.35617
1.44503,-1.53164,1.81693,-0.285272,-3.00249,-2.35618
1.4592,-1.50729,1.79117,-0.283869,-2.96799,-2.35619
1.47231,-1.48282,1.7646,-0.281783,-2.93446,-2.35619
1.48265,-1.45819,1.73597,-0.277773,-2.90363,-2.35619
1.49548,-1.43363,1.70919,-0.275558,-2.8703,-2.35619
1.50493,-1.40885,1.6797,-0.270847,-2.84023,-2.35619
1.51439,-1.38406,1.6502,-0.266136,-2.81016,-2.35619
1.52048,-1.3681,1.63121,-0.263102,-2.7908,-2.35619
1.52834,-1.34344,1.60064,-0.257203,-2.76249,-2.35619
1.53542,-1.31878,1.56943,-0.250651,-2.735,-2.35619
1.54177,-1.29412,1.53758,-0.243454,-2.70831,-2.35619
1.54623,-1.26922,1.50347,-0.234252,-2.68356,-2.35619
1.55631,-1.21988,1.43719,-0.21731,-2.6331,-2.35619
1.56016,-1.19506,1.40257,-0.207509,-2.60914,-2.35619
1.56401,-1.17023,1.36795,-0.197708,-2.58518,-2.35619
1.56422,-1.1689,1.36609,-0.197182,-2.58389,-2.35619
