j0,j1,j2,j3,j4,j5
3.68248,4.53492,-1.69716,-2.83777,-2.08197,-2.3562
3.69773,4.56486,-1.73419,-2.83052,-2.0366,-2.35602
3.71508,4.59496,-1.76886,-2.82594,-1.98954,-2.35595
3.73402,4.62443,-1.80177,-2.82249,-1.94127,-2.35591
3.75172,4.64852,-1.82678,-2.82174,-1.90016,-2.35619
3.76951,4.67162,-1.85124,-2.82038,-1.85904,-2.3562
3.78935,4.69541,-1.87593,-2.81948,-1.81487,-2.3562
3.81065,4.71889,-1.89955,-2.81934,-1.76933,-2.35619
3.8334,4.74197,-1.92217,-2.81981,-1.72243,-2.35619
3.85764,4.76463,-1.94377,-2.82086,-1.6741,-2.35619
3.88204,4.78563,-1.96314,-2.82249,-1.62707,-2.35619
3.90771,4.8061,-1.98167,-2.82444,-1.57879,-2.35619
3.9348,4.82606,-1.99927,-2.82679,-1.52911,-2.35619
3.96334,4.84544,-2.01594,-2.82951,-1.47801,-2.35619
3.99332,4.8642,-2.03166,-2.83254,-1.42545,-2.35619
4.02475,4.88224,-2.04641,-2.83583,-1.37143,-2.35619
4.0576,4.8995,-2.06018,-2.83932,-1.31595,-2.35619
4.09184,4.91587,-2.07295,-2.84293,-1.25904,-2.35619
4.1274,4.93127,-2.08468,-2.8466,-1.20073,-2.35619
4.16421,4.94558,-2.09534,-2.85024,-1.1411,-2.35619
4.20216,4.9587,-2.10492,-2.85378,-1.08022,-2.35619
4.24111,4.9705,-2.11338,-2.85712,-1.01823,-2.35619
4.28089,4.98085,-2.12067,-2.86018,-0.955279,-2.35619
4.32131,4.98965,-2.12677,-2.86288,-0.891538,-2.35619
4.36213,4.99676,-2.13164,-2.86512,-0.827222,-2.35619
4.40311,5.00207,-2.13523,-2.86684,-0.76257,-2.35619
4.44398,5.00547,-2.13751,-2.86797,-0.697842,-2.35619
4.48444,5.00688,-2.13843,-2.86845,-0.633316,-2.35619
4.5242,5.00622,-2.13796,-2.86826,-0.569276,-2.35619
4.56299,5.00345,-2.13607,-2.86739,-0.506006,-2.35619
4.60052,4.99855,-2.13271,-2.86585,-0.443775,-2.35619
4.63655,4.99153,-2.12787,-2.86366,-0.382835,-2.35619
4.67087,4.98242,-2.12153,-2.8609,-0.323404,-2.35619
4.70331,4.97131,-2.11367,-2.85765,-0.265666,-2.35618
4.73372,4.95828,-2.1043,-2.85399,-0.209765,-2.35618
4.76204,4.94345,-2.09342,-2.85006,-0.155803,-2.35616
4.78821,4.92695,-2.08104,-2.84598,-0.103842,-2.35613
4.81222,4.90892,-2.06717,-2.84194,-0.0539068,-2.35601
4.83411,4.88904,-2.05145,-2.83991,-0.00598923,-2.35386
4.85393,4.86887,-2.03511,-2.83428,0.0399681,-2.35568
4.87174,4.84733,-2.01712,-2.8303,0.0839757,-2.35611
4.88765,4.82479,-1.99774,-2.8271,0.126119,-2.35615
4.90175,4.80146,-1.97708,-2.82441,0.166488,-2.35617
4.91415,4.77747,-1.9552,-2.82229,0.205173,-2.35618
4.92496,4.75294,-1.93215,-2.82081,0.242266,-2.35618
4.9343,4.72797,-1.90797,-2.82,0.277863,-2.35619
4.94227,4.70264,-1.88273,-2.81992,0.312057,-2.35619
4.94897,4.67703,-1.85646,-2.82057,0.344936,-2.35619
4.9545,4.6512,-1.82921,-2.82199,0.376588,-2.35619
4.95897,4.62521,-1.80103,-2.82419,0.407094,-2.35619
4.96245,4.59911,-1.77194,-2.82717,0.436529,-2.35619
4.96502,4.57292,-1.742,-2.83092,0.464966,-2.35619
4.96524,4.54636,-1.70914,-2.83722,0.490943,-2.35619
4.96731,4.49384,-1.64602,-2.84782,0.544283,-2.35619
4.96686,4.46738,-1.61252,-2.85486,0.569348,-2.35619
4.96641,4.44092,-1.57903,-2.86189,0.594413,-2.35619
4.96621,4.42944,-1.5645,-2.86494,0.605286,-2.35619
4.96173,4.379,-1.49523,-2.88377,0.648228,-2.35619
4.95704,4.32913,-1.42646,-2.90267,0.690394,-2.35619
4.95382,4.3039,-1.39003,-2.91387,0.71041,-2.35619
4.9506,4.27866,-1.35361,-2.92506,0.730426,-2.35619
4.9474,4.25365,-1.31749,-2.93616,0.750268,-2.35619
4.94692,4.24988,-1.31205,-2.93783,0.753258,-2.35619
