24740	0.620833	-0.723424	-0.302032	-0.170555	-0.500686	0.848660	-0.765165	-0.475363	-0.434227	-410.681610	-129.452347	927.934753
24767	0.904295	0.182867	-0.385759	-0.364730	0.800543	-0.475504	0.221863	0.570693	0.790624	-409.308289	-126.985344	934.948486
24782	0.526333	-0.747975	-0.404360	0.794628	0.601922	-0.079096	0.302555	-0.279685	0.911173	-414.243500	-108.961136	936.930237
24737	0.090195	-0.975153	-0.202339	-0.964854	-0.035207	-0.260417	0.246824	0.218716	-0.944056	-416.896393	-129.135284	946.250854
24786	-0.441322	-0.803791	-0.398941	0.877601	-0.479365	-0.005004	-0.187216	-0.352320	0.916962	-426.430084	-107.645683	930.866455
24708	-0.496199	0.764619	-0.411270	-0.796863	-0.589138	-0.133887	-0.344667	0.261292	0.901627	-427.031036	-129.492096	928.908691
24751	-0.751210	0.621439	-0.222479	0.659253	0.689682	-0.299541	-0.032707	-0.371688	-0.927781	-427.705841	-107.853035	942.154480
24813	-0.542351	0.500394	0.674879	0.487804	-0.466463	0.737876	0.684034	0.729396	0.008892	-434.127625	-120.391304	942.456299
24862	0.294529	-0.882451	0.366790	-0.501240	-0.469433	-0.726906	0.813641	0.030245	-0.580580	-417.053833	-112.811188	951.393677
24796	-0.643545	-0.029379	0.764845	-0.253133	0.951205	-0.176449	-0.722339	-0.307160	-0.619579	-438.782227	-120.440445	929.818420
24944	0.531243	0.837839	-0.125725	0.361793	-0.358534	-0.860558	-0.766085	0.411679	-0.493593	-411.676392	-102.994537	930.116211
