0	1	2	11
1	1	11	20
2	1	20	12
3	1	12	35
4	1	35	15
5	1	15	2
6	2	32	11
7	2	15	32
8	3	25	11
9	3	11	10
10	3	10	39
11	3	39	26
12	3	26	29
13	3	29	25
14	4	27	9
15	4	9	18
16	4	18	8
17	4	8	17
18	4	17	34
19	4	34	36
20	4	36	43
21	4	43	12
22	4	12	27
23	6	39	10
24	6	10	32
25	6	32	15
26	6	15	35
27	6	35	33
28	6	33	49
29	6	49	26
30	6	26	39
31	7	17	44
32	7	44	13
33	7	13	25
34	7	25	29
35	7	29	26
36	7	26	49
37	7	49	30
38	7	30	17
39	8	19	17
40	8	18	11
41	8	11	19
42	9	27	12
43	9	12	20
44	9	20	11
45	9	11	18
46	10	11	32
47	11	25	13
48	11	13	19
49	12	43	33
50	12	33	35
51	13	44	19
52	14	24	49
53	14	49	23
54	17	30	34
55	17	19	44
56	22	23	33
57	22	33	43
58	23	49	33
59	24	45	30
60	24	30	49
61	30	45	34
62	34	45	36
63	36	51	43
64	43	51	22
