Waypoint,j0,j1,j2,j3,j4,j5
0,-0.901685,-1.95623,-1.19106,-3.13534,-2.25791,-2.35491
1,-0.899286,-1.94803,-1.20219,-3.13297,-2.24811,-2.35619
2,-0.892398,-1.9244,-1.2345,-3.12429,-2.22027,-2.35619
3,-0.885509,-1.90077,-1.2668,-3.11561,-2.19243,-2.35619
4,-0.86899,-1.85477,-1.32732,-3.1011,-2.13381,-2.35619
5,-0.861415,-1.83125,-1.35892,-3.09301,-2.10508,-2.35619
6,-0.851758,-1.80868,-1.38753,-3.08698,-2.07418,-2.35619
7,-0.841346,-1.78634,-1.41532,-3.08153,-2.04246,-2.35619
8,-0.830147,-1.76424,-1.4423,-3.07665,-2.00988,-2.35619
9,-0.818133,-1.74238,-1.46845,-3.07235,-1.97644,-2.35619
10,-0.805273,-1.7208,-1.49379,-3.06859,-1.94211,-2.35619
11,-0.791542,-1.69951,-1.51829,-3.06538,-1.90687,-2.35619
12,-0.776914,-1.67853,-1.54196,-3.06269,-1.87072,-2.35619
13,-0.761365,-1.6579,-1.56478,-3.06051,-1.83363,-2.35619
14,-0.744876,-1.63762,-1.58675,-3.05882,-1.7956,-2.35619
15,-0.72743,-1.61775,-1.60785,-3.05759,-1.75662,-2.35619
16,-0.709015,-1.59831,-1.62808,-3.0568,-1.71669,-2.35619
17,-0.689623,-1.57933,-1.64743,-3.05643,-1.6758,-2.35619
18,-0.669253,-1.56086,-1.66588,-3.05644,-1.63398,-2.35619
19,-0.64791,-1.54294,-1.68344,-3.05681,-1.59121,-2.35619
20,-0.625603,-1.5256,-1.70009,-3.05749,-1.54754,-2.35619
21,-0.602352,-1.50889,-1.71583,-3.05847,-1.50297,-2.35619
22,-0.578185,-1.49286,-1.73065,-3.05968,-1.45754,-2.35619
23,-0.553135,-1.47755,-1.74454,-3.0611,-1.41129,-2.35619
24,-0.527247,-1.463,-1.7575,-3.06269,-1.36428,-2.35619
25,-0.500575,-1.44926,-1.76953,-3.06439,-1.31654,-2.35619
26,-0.473181,-1.43638,-1.78063,-3.06617,-1.26816,-2.35619
27,-0.445137,-1.4244,-1.7908,-3.06799,-1.21919,-2.35619
28,-0.416522,-1.41336,-1.80003,-3.0698,-1.16972,-2.35619
29,-0.387424,-1.4033,-1.80832,-3.07156,-1.11984,-2.35619
30,-0.35794,-1.39426,-1.81569,-3.07323,-1.06964,-2.35619
31,-0.328169,-1.38628,-1.82212,-3.07478,-1.01921,-2.35619
32,-0.298217,-1.37938,-1.82763,-3.07618,-0.968653,-2.35619
33,-0.268195,-1.3736,-1.83221,-3.07738,-0.918076,-2.35619
34,-0.238213,-1.36895,-1.83587,-3.07837,-0.867582,-2.35619
35,-0.208382,-1.36545,-1.83861,-3.07913,-0.817272,-2.35619
36,-0.178811,-1.36312,-1.84043,-3.07963,-0.767249,-2.35619
37,-0.149606,-1.36198,-1.84133,-3.07988,-0.717609,-2.35619
38,-0.12087,-1.36201,-1.84132,-3.07986,-0.668444,-2.35619
39,-0.0926977,-1.36322,-1.84039,-3.07957,-0.619839,-2.35619
40,-0.0651767,-1.36561,-1.83855,-3.07903,-0.571872,-2.35619
41,-0.0383875,-1.36917,-1.83579,-3.07824,-0.524612,-2.35619
42,-0.0124009,-1.37387,-1.83211,-3.07721,-0.478118,-2.35619
43,0.012721,-1.37971,-1.8275,-3.07597,-0.432442,-2.35619
44,0.0369259,-1.38667,-1.82197,-3.07455,-0.387624,-2.35619
45,0.0601708,-1.39471,-1.81551,-3.07297,-0.343697,-2.35619
46,0.103653,-1.41395,-1.79976,-3.06949,-0.258597,-2.35618
47,0.142998,-1.43721,-1.78018,-3.06582,-0.177225,-2.35616
48,0.178153,-1.46425,-1.75669,-3.06238,-0.0995512,-2.35606
49,0.209163,-1.49543,-1.72862,-3.06222,-0.0254499,-2.35311
50,0.236137,-1.5287,-1.69749,-3.0578,0.0452584,-2.3554
51,0.259237,-1.56536,-1.66179,-3.05616,0.112796,-2.35608
52,0.27866,-1.605,-1.62154,-3.0567,0.17742,-2.35614
53,0.294613,-1.64734,-1.57666,-3.05922,0.239394,-2.35617
54,0.307314,-1.69225,-1.52693,-3.06402,0.298976,-2.35617
55,0.316974,-1.73969,-1.47205,-3.07147,0.356414,-2.35618
56,0.323799,-1.78964,-1.41165,-3.08191,0.411943,-2.35618
57,0.326211,-1.81558,-1.37924,-3.08838,0.439059,-2.35618
58,0.327988,-1.84219,-1.34526,-3.09574,0.465776,-2.35618
59,0.329152,-1.8695,-1.30964,-3.10407,0.492117,-2.35618
60,0.329719,-1.8975,-1.27233,-3.11331,0.518098,-2.35625
61,0.330176,-1.92764,-1.23079,-3.12647,0.5442,-2.35477
