Waypoint,j0,j1,j2,j3,j4,j5
0,0.0817469,-0.475499,0.616121,-3.28433,0.555908,-5.49555
1,0.0735401,-0.497122,0.658624,-3.30448,0.545185,-5.49633
2,0.0658708,-0.517328,0.698343,-3.3233,0.535164,-5.49706
3,0.0500038,-0.554227,0.769852,-3.35794,0.514595,-5.49703
4,0.0418581,-0.574429,0.809301,-3.37683,0.503994,-5.49741
5,0.025304,-0.611192,0.880034,-3.41071,0.482448,-5.4975
6,0.00827448,-0.647433,0.949206,-3.44359,0.460212,-5.49755
7,-0.00037402,-0.667672,0.988414,-3.46234,0.448947,-5.49779
8,-0.0179353,-0.703365,1.05582,-3.49405,0.425911,-5.49779
9,-0.0358694,-0.738857,1.12227,-3.52501,0.402275,-5.49779
10,-0.0541396,-0.774249,1.18792,-3.55526,0.378064,-5.49779
11,-0.0727115,-0.809627,1.2529,-3.58486,0.3533,-5.49779
12,-0.0915516,-0.845069,1.31731,-3.61384,0.328001,-5.49779
13,-0.110627,-0.880648,1.38125,-3.64219,0.302179,-5.49779
14,-0.129904,-0.916431,1.44476,-3.66992,0.275841,-5.49779
15,-0.14935,-0.952487,1.50791,-3.69702,0.248992,-5.49779
16,-0.168929,-0.988884,1.57074,-3.72345,0.221631,-5.49779
17,-0.188604,-1.02569,1.63327,-3.74916,0.19375,-5.49779
18,-0.208333,-1.06299,1.69551,-3.77411,0.165338,-5.49779
19,-0.228072,-1.10086,1.75749,-3.79821,0.136376,-5.4978
20,-0.247771,-1.1394,1.8192,-3.82136,0.106838,-5.49781
21,-0.267371,-1.17872,1.88063,-3.84345,0.0766869,-5.49784
22,-0.286804,-1.21896,1.9418,-3.8642,0.0458754,-5.49803
23,-0.305989,-1.26101,2.00377,-3.87961,0.0143386,-5.50252
24,-0.32483,-1.30292,2.06335,-3.90038,-0.0180011,-5.49943
25,-0.3432,-1.34651,2.12294,-3.91781,-0.051254,-5.498
26,-0.360947,-1.39198,2.18232,-3.93184,-0.0855598,-5.49788
27,-0.377872,-1.4394,2.24107,-3.94321,-0.121105,-5.49785
28,-0.393713,-1.48909,2.29901,-3.95147,-0.15814,-5.49783
29,-0.40812,-1.54145,2.35593,-3.95604,-0.197006,-5.49782
30,-0.420608,-1.59695,2.41155,-3.95616,-0.238176,-5.49781
31,-0.430494,-1.65613,2.4655,-3.95094,-0.282325,-5.49781
32,-0.436786,-1.7195,2.51728,-3.93935,-0.330432,-5.49781
33,-0.438148,-1.75291,2.54216,-3.93083,-0.356404,-5.49781
34,-0.438003,-1.7875,2.56624,-3.92032,-0.383968,-5.49781
35,-0.43604,-1.82325,2.5894,-3.90772,-0.413435,-5.49781
36,-0.431866,-1.86011,2.6115,-3.89296,-0.445194,-5.4978
37,-0.425013,-1.89788,2.6324,-3.8761,-0.479711,-5.49779
38,-0.41526,-1.93657,2.65244,-3.85776,-0.5172,-5.49845
