Waypoint,j0,j1,j2,j3,j4,j5
0,1.2367,-1.1045,1.7002,-3.73672,-0.886626,0.784533
1,1.24582,-1.12182,1.72788,-3.74765,-0.92103,0.78539
2,1.25561,-1.13905,1.75484,-3.75739,-0.955911,0.785398
3,1.27755,-1.17142,1.80466,-3.77483,-1.02744,0.785398
4,1.30269,-1.20092,1.84912,-3.78979,-1.1014,0.785398
5,1.33103,-1.22745,1.88829,-3.80243,-1.17784,0.785398
6,1.36255,-1.25088,1.92222,-3.81293,-1.25679,0.785398
7,1.39715,-1.27106,1.95093,-3.82146,-1.3382,0.785398
8,1.43465,-1.28785,1.97445,-3.82819,-1.42197,0.785398
9,1.47484,-1.30113,1.99279,-3.83326,-1.50793,0.785398
10,1.49583,-1.30641,2.00003,-3.83521,-1.55165,0.785398
11,1.51737,-1.31077,2.00598,-3.8368,-1.59582,0.785398
12,1.5394,-1.31421,2.01065,-3.83803,-1.64039,0.785398
13,1.56186,-1.31672,2.01405,-3.83892,-1.68533,0.785398
14,1.5847,-1.3183,2.01617,-3.83947,-1.73057,0.785398
15,1.60785,-1.31894,2.01703,-3.83969,-1.77606,0.785398
16,1.63125,-1.31865,2.01664,-3.83958,-1.82175,0.785398
17,1.65483,-1.31745,2.015,-3.83914,-1.86758,0.785398
18,1.67853,-1.31533,2.01212,-3.83838,-1.91349,0.785398
19,1.70226,-1.31231,2.00802,-3.8373,-1.95941,0.785398
20,1.72597,-1.30841,2.0027,-3.83587,-2.00528,0.785398
21,1.74959,-1.30365,1.99617,-3.83411,-2.05104,0.785398
22,1.77304,-1.29805,1.98846,-3.83201,-2.09663,0.785398
23,1.79627,-1.29163,1.97958,-3.82955,-2.142,0.785398
24,1.81921,-1.28441,1.96954,-3.82672,-2.18707,0.785398
25,1.8418,-1.27642,1.95836,-3.82353,-2.2318,0.785398
26,1.864,-1.2677,1.94605,-3.81994,-2.27614,0.785398
27,1.88574,-1.25826,1.93264,-3.81597,-2.32004,0.785398
28,1.90698,-1.24814,1.91814,-3.81159,-2.36346,0.785398
29,1.92769,-1.23737,1.90257,-3.8068,-2.40635,0.785398
30,1.94783,-1.22596,1.88596,-3.80159,-2.44868,0.785398
31,1.96736,-1.21396,1.86831,-3.79594,-2.49041,0.785398
32,1.98626,-1.20139,1.84966,-3.78986,-2.53153,0.785398
33,2.00451,-1.18828,1.83001,-3.78333,-2.572,0.785398
34,2.02208,-1.17464,1.8094,-3.77635,-2.61181,0.785398
35,2.03897,-1.16051,1.78782,-3.76891,-2.65094,0.785398
36,2.05517,-1.14591,1.76532,-3.761,-2.68937,0.785398
37,2.07067,-1.13085,1.74189,-3.75263,-2.72711,0.785398
38,2.08548,-1.11537,1.71757,-3.74379,-2.76413,0.785398
39,2.09827,-1.09868,1.69061,-3.73352,-2.79914,0.785399
40,2.113,-1.08316,1.66625,-3.72468,-2.83608,0.785399
41,2.12497,-1.06605,1.6383,-3.71385,-2.87021,0.785399
42,2.13695,-1.04893,1.61035,-3.70301,-2.90434,0.785399
43,2.1422,-1.04142,1.59808,-3.69826,-2.91931,0.785399
44,2.15326,-1.02386,1.56907,-3.6868,-2.95243,0.7854
45,2.16432,-1.0063,1.54006,-3.67535,-2.98554,0.7854
46,2.16528,-1.00478,1.53754,-3.67435,-2.98842,0.7854
47,2.18346,-0.969446,1.47789,-3.65004,-3.04864,0.785401
48,2.19835,-0.932193,1.41344,-3.62283,-3.10512,0.785402
49,2.2127,-0.895037,1.34898,-3.59548,-3.16067,0.785454
50,2.21882,-0.875686,1.31486,-3.58073,-3.18725,0.78543
51,2.22494,-0.856335,1.28074,-3.56599,-3.21384,0.785406
52,2.22757,-0.848005,1.26605,-3.55964,-3.22528,0.785396
53,2.23626,-0.812659,1.20261,-3.53155,-3.26923,0.785396
54,2.24364,-0.776549,1.13704,-3.50209,-3.3111,0.785397
55,2.24916,-0.738024,1.06573,-3.4693,-3.35032,0.785393
56,2.25455,-0.700286,0.995877,-3.43719,-3.38878,0.785391
57,2.25655,-0.680099,0.957954,-3.41946,-3.40711,0.785385
58,2.25856,-0.659912,0.920031,-3.40173,-3.42544,0.785379
59,2.26056,-0.639725,0.882108,-3.384,-3.44377,0.785374
60,2.26221,-0.623057,0.850795,-3.36936,-3.45891,0.785369
61,2.26456,-0.586884,0.781424,-3.33604,-3.48733,0.786117
