Waypoint,j0,j1,j2,j3,j4,j5
0,1.06828,-0.290407,0.0949156,-2.92959,0.0657407,0.769354
1,1.06726,-0.309322,0.133464,-2.95445,0.0623963,0.774439
2,1.067,-0.314091,0.143184,-2.96072,0.0615531,0.775721
3,1.06598,-0.333007,0.181733,-2.98558,0.0582087,0.780805
4,1.06389,-0.367776,0.251996,-3.02339,0.0511969,0.783071
5,1.06163,-0.399214,0.315014,-3.05562,0.0435112,0.783697
6,1.06043,-0.418831,0.354697,-3.07834,0.0395034,0.786283
7,1.05793,-0.446708,0.410022,-3.10744,0.0308356,0.787933
8,1.05523,-0.470888,0.457658,-3.13839,0.0212786,0.795423
9,1.05233,-0.496389,0.507618,-3.16769,0.0108727,0.800268
10,1.0493,-0.525103,0.56353,-3.19115,-0.000283802,0.796526
11,1.04616,-0.553857,0.619076,-3.21181,-0.0121717,0.790399
12,1.04121,-0.59533,0.698493,-3.24758,-0.0321204,0.788225
13,1.03629,-0.632584,0.768935,-3.27896,-0.0524032,0.78641
14,1.03154,-0.667385,0.834082,-3.30861,-0.0730945,0.785717
15,1.02698,-0.700356,0.89519,-3.33654,-0.0941699,0.785507
16,1.02264,-0.731904,0.953084,-3.36282,-0.115618,0.785442
17,1.01854,-0.762277,1.00827,-3.38761,-0.137432,0.785418
18,1.01469,-0.791649,1.06111,-3.41106,-0.159607,0.785408
19,1.01114,-0.82015,1.11186,-3.43331,-0.182143,0.785403
20,1.00788,-0.84788,1.16073,-3.45445,-0.205039,0.7854
21,1.00495,-0.874919,1.2079,-3.47457,-0.228296,0.785398
22,1.00238,-0.901332,1.25348,-3.49374,-0.25192,0.785398
23,1.00017,-0.927169,1.29758,-3.512,-0.275913,0.785397
24,0.998354,-0.952471,1.34029,-3.52941,-0.300282,0.785397
25,0.996957,-0.977273,1.38168,-3.546,-0.325034,0.785397
26,0.995999,-1.0016,1.42181,-3.5618,-0.350176,0.785397
27,0.995505,-1.02547,1.46071,-3.57683,-0.375718,0.785397
28,0.995498,-1.0489,1.49844,-3.59112,-0.401668,0.785397
29,0.996001,-1.07191,1.53501,-3.60469,-0.428037,0.785397
30,0.99704,-1.0945,1.57045,-3.61755,-0.454836,0.785398
31,0.998637,-1.11666,1.60478,-3.62971,-0.482076,0.785398
32,1.00082,-1.13842,1.63802,-3.64119,-0.509771,0.785398
33,1.0036,-1.15975,1.67017,-3.65201,-0.537932,0.785398
34,1.01109,-1.20115,1.73124,-3.67168,-0.595705,0.785398
35,1.02128,-1.24079,1.78803,-3.68883,-0.655505,0.785398
36,1.03433,-1.27857,1.84054,-3.70357,-0.717437,0.785398
37,1.05041,-1.31434,1.88878,-3.71603,-0.781604,0.785398
38,1.06964,-1.34796,1.93273,-3.72636,-0.848097,0.785398
39,1.09211,-1.37923,1.97238,-3.73474,-0.916987,0.785398
40,1.11787,-1.40794,2.00772,-3.74137,-0.988316,0.785398
41,1.14692,-1.4339,2.03878,-3.74646,-1.06209,0.785398
42,1.17919,-1.4569,2.06556,-3.75025,-1.13827,0.785398
43,1.21456,-1.47673,2.08811,-3.75297,-1.21676,0.785398
44,1.25282,-1.49323,2.10648,-3.75484,-1.29741,0.785398
45,1.2937,-1.50627,2.12074,-3.75606,-1.37999,0.785398
46,1.33684,-1.51575,2.13096,-3.75681,-1.46423,0.785398
47,1.38293,-1.51925,2.13473,-3.75708,-1.55084,0.785398
48,1.42899,-1.52229,2.13799,-3.7573,-1.63705,0.785397
49,1.45292,-1.52135,2.13703,-3.75727,-1.68093,0.785397
50,1.47685,-1.52041,2.13607,-3.75725,-1.72481,0.785396
51,1.49384,-1.51975,2.13538,-3.75723,-1.75597,0.785395
52,1.51788,-1.51768,2.13326,-3.75716,-1.79971,0.785394
53,1.53925,-1.51585,2.13136,-3.75711,-1.83859,0.785393
54,1.56686,-1.5111,2.12628,-3.75677,-1.8888,0.785393
55,1.59456,-1.50527,2.11999,-3.75631,-1.93925,0.785393
56,1.62223,-1.49838,2.11249,-3.75571,-1.98982,0.785393
57,1.64979,-1.49043,2.10377,-3.75493,-2.04043,0.785393
58,1.67709,-1.48148,2.09383,-3.75394,-2.09094,0.7854
59,1.70321,-1.47172,2.08261,-3.75284,-2.14043,0.785923
