Waypoint,j0,j1,j2,j3,j4,j5
0,1.52035,-0.471543,0.500999,-3.17299,-0.516543,0.786988
1,1.51995,-0.497637,0.551968,-3.19593,-0.527367,0.7854
2,1.51995,-0.497761,0.552206,-3.19604,-0.527433,0.7854
3,1.51967,-0.518404,0.592023,-3.21521,-0.538425,0.7854
4,1.51939,-0.539047,0.631839,-3.23439,-0.549418,0.7854
5,1.51911,-0.559689,0.671655,-3.25356,-0.560411,0.785399
6,1.51884,-0.580332,0.711472,-3.27273,-0.571403,0.785399
7,1.51876,-0.616932,0.781,-3.30566,-0.594428,0.785399
8,1.5187,-0.655318,0.854005,-3.34028,-0.618285,0.785398
9,1.51951,-0.691603,0.921883,-3.37188,-0.644689,0.7854
10,1.5206,-0.725074,0.983718,-3.40024,-0.67147,0.7854
11,1.5222,-0.756887,1.04193,-3.42663,-0.698796,0.785399
12,1.52431,-0.787229,1.0969,-3.45126,-0.726659,0.785399
13,1.52695,-0.816106,1.14869,-3.47418,-0.754908,0.785399
14,1.53015,-0.843833,1.19795,-3.49571,-0.783706,0.785398
15,1.53394,-0.870487,1.24483,-3.51594,-0.813046,0.785398
16,1.53834,-0.896139,1.28951,-3.53496,-0.842934,0.785398
17,1.54336,-0.920845,1.3321,-3.55285,-0.873374,0.785398
18,1.54904,-0.944649,1.37272,-3.56967,-0.904371,0.785398
19,1.55538,-0.967584,1.41147,-3.58548,-0.935931,0.785398
20,1.56241,-0.989673,1.4484,-3.60032,-0.96806,0.785398
21,1.57013,-1.01094,1.48359,-3.61424,-1.00077,0.785398
22,1.57858,-1.03138,1.51708,-3.62729,-1.03405,0.785398
23,1.58775,-1.05102,1.54891,-3.63948,-1.06793,0.785398
24,1.59766,-1.06986,1.57913,-3.65086,-1.10239,0.785398
25,1.60832,-1.08789,1.60776,-3.66146,-1.13745,0.785398
26,1.61973,-1.10511,1.63482,-3.6713,-1.17311,0.785398
27,1.63189,-1.12151,1.66035,-3.68042,-1.20937,0.785398
28,1.64482,-1.1371,1.68435,-3.68885,-1.24623,0.785398
29,1.67292,-1.16574,1.72786,-3.70371,-1.32173,0.785398
30,1.70396,-1.19096,1.76547,-3.7161,-1.39955,0.785398
31,1.73783,-1.21264,1.79727,-3.72622,-1.47959,0.785398
32,1.77433,-1.23068,1.82334,-3.73425,-1.56171,0.785398
33,1.81321,-1.24499,1.84376,-3.74036,-1.6457,0.785398
34,1.85415,-1.2555,1.85861,-3.7447,-1.73128,0.785398
35,1.89678,-1.26217,1.86796,-3.74739,-1.81816,0.785398
36,1.9186,-1.26406,1.87061,-3.74814,-1.86196,0.785398
37,1.94067,-1.26499,1.87191,-3.74851,-1.90595,0.785398
38,1.96295,-1.26498,1.87188,-3.7485,-1.95008,0.785398
39,1.98536,-1.26402,1.87053,-3.74811,-1.99428,0.785398
40,2.00786,-1.26212,1.86788,-3.74735,-2.03851,0.785398
41,2.03038,-1.25931,1.86394,-3.74622,-2.08272,0.785398
42,2.05286,-1.25559,1.85871,-3.74471,-2.12684,0.785398
43,2.07525,-1.25099,1.85222,-3.74282,-2.17084,0.785398
44,2.09748,-1.24552,1.84447,-3.74054,-2.21466,0.785398
45,2.1195,-1.2392,1.83548,-3.73787,-2.25825,0.785398
46,2.14126,-1.23206,1.82526,-3.73479,-2.30157,0.785398
47,2.16271,-1.22412,1.81383,-3.73131,-2.34456,0.785398
48,2.1838,-1.21539,1.8012,-3.7274,-2.38719,0.785398
49,2.20365,-1.20467,1.78534,-3.72226,-2.42858,0.785398
50,2.22474,-1.1957,1.77239,-3.71828,-2.4712,0.785398
51,2.244,-1.18413,1.75512,-3.71259,-2.51201,0.785398
52,2.26326,-1.17255,1.73786,-3.70689,-2.55281,0.785398
53,2.26455,-1.17178,1.7367,-3.70651,-2.55555,0.785398
54,2.28328,-1.15954,1.71828,-3.70034,-2.59583,0.785398
55,2.28346,-1.15941,1.7181,-3.70028,-2.59623,0.785398
56,2.28705,-1.15707,1.71458,-3.6991,-2.60393,0.785398
57,2.30523,-1.1442,1.69507,-3.69246,-2.64367,0.785398
58,2.31189,-1.13949,1.68793,-3.69003,-2.65822,0.785398
59,2.32901,-1.12565,1.66666,-3.6826,-2.69678,0.785398
60,2.34549,-1.11126,1.64434,-3.67467,-2.73468,0.785398
61,2.36029,-1.09543,1.61916,-3.66532,-2.77086,0.785401
62,2.37657,-1.08087,1.59655,-3.65728,-2.80852,0.785398
63,2.39069,-1.06457,1.57041,-3.64743,-2.84393,0.785403
64,2.40482,-1.04826,1.54427,-3.63759,-2.87935,0.785408
65,2.41055,-1.04165,1.53366,-3.63359,-2.89372,0.78541
66,2.42279,-1.0244,1.50529,-3.62154,-2.92692,0.786321
67,2.43504,-1.00715,1.47692,-3.60948,-2.96011,0.787233
68,2.44374,-0.994894,1.45676,-3.60091,-2.98371,0.787881
69,2.45513,-0.977546,1.42787,-3.58686,-3.01583,0.79033
70,2.45847,-0.972443,1.41938,-3.58272,-3.02528,0.79105
