Waypoint,j0,j1,j2,j3,j4,j5
0,0.74321,-0.485821,0.771201,-3.42528,0.303844,0.782936
1,0.743131,-0.486455,0.77239,-3.42716,0.303705,0.784983
2,0.736095,-0.506941,0.813341,-3.44735,0.292905,0.784723
3,0.725633,-0.535791,0.870616,-3.47645,0.276567,0.785433
4,0.715069,-0.563966,0.926484,-3.50411,0.260179,0.785402
5,0.704504,-0.591171,0.980237,-3.53066,0.243653,0.785401
6,0.69393,-0.617601,1.03227,-3.55626,0.226968,0.785399
7,0.68338,-0.643365,1.08281,-3.58103,0.210146,0.785397
8,0.672862,-0.668534,1.13199,-3.60505,0.193196,0.785395
9,0.662386,-0.693181,1.17998,-3.62838,0.176122,0.785392
10,0.651963,-0.717367,1.22687,-3.65109,0.158926,0.785388
11,0.641603,-0.741141,1.27279,-3.67323,0.141611,0.785383
12,0.631318,-0.764548,1.31781,-3.69483,0.124178,0.785375
13,0.621118,-0.787622,1.36199,-3.71593,0.106629,0.785363
14,0.611014,-0.810397,1.4054,-3.73654,0.0889633,0.78534
15,0.601018,-0.8329,1.4481,-3.75669,0.0711821,0.785295
16,0.591142,-0.855163,1.49013,-3.77633,0.0532843,0.785178
17,0.581399,-0.877324,1.53175,-3.79494,0.035269,0.784321
18,0.571801,-0.899521,1.5732,-3.81189,0.0171339,0.782014
19,0.562361,-0.921372,1.61376,-3.82912,-0.00112379,0.78054
20,0.553094,-0.942416,1.6526,-3.84901,-0.0195061,0.782623
21,0.544018,-0.963357,1.69102,-3.86819,-0.0380131,0.784337
22,0.535146,-0.984303,1.72918,-3.88613,-0.0566479,0.785054
23,0.526497,-1.00518,1.76694,-3.90324,-0.0754154,0.785274
24,0.518086,-1.02592,1.8042,-3.91981,-0.0943207,0.785338
25,0.509933,-1.04653,1.84091,-3.93593,-0.113369,0.78536
26,0.502057,-1.06701,1.87708,-3.95163,-0.132567,0.78537
27,0.48722,-1.10755,1.94772,-3.98175,-0.171437,0.785381
28,0.473754,-1.14758,2.01608,-4.01008,-0.210993,0.785387
29,0.461855,-1.1871,2.08203,-4.03652,-0.251312,0.78539
30,0.451743,-1.22611,2.14548,-4.06096,-0.292488,0.785392
31,0.443655,-1.26458,2.20627,-4.08328,-0.334633,0.785394
32,0.437851,-1.30249,2.26424,-4.10334,-0.377883,0.785395
33,0.434611,-1.33979,2.31922,-4.12102,-0.422398,0.785396
34,0.43423,-1.37641,2.37104,-4.13623,-0.468364,0.785396
35,0.437021,-1.41224,2.41952,-4.14887,-0.515997,0.785397
36,0.443305,-1.44717,2.4645,-4.15892,-0.565538,0.785397
37,0.453404,-1.48102,2.50584,-4.16641,-0.617251,0.785398
38,0.467634,-1.51358,2.54341,-4.17142,-0.671418,0.785398
39,0.486287,-1.54457,2.57713,-4.17416,-0.728321,0.785398
40,0.509615,-1.57367,2.60696,-4.17488,-0.788228,0.785398
41,0.537805,-1.60051,2.63287,-4.17396,-0.851367,0.785398
42,0.570952,-1.62469,2.65492,-4.17183,-0.91789,0.785398
43,0.609026,-1.64581,2.67319,-4.16897,-0.987844,0.785398
44,0.656444,-1.66107,2.68558,-4.1661,-1.06573,0.785369
45,0.702678,-1.67586,2.69748,-4.1632,-1.14142,0.785357
46,0.729827,-1.68061,2.70108,-4.16204,-1.18297,0.785316
47,0.756976,-1.68535,2.70467,-4.16089,-1.22452,0.785275
48,0.784125,-1.6901,2.70827,-4.15973,-1.26606,0.785234
49,0.792669,-1.69159,2.7094,-4.15937,-1.27914,0.785221
50,0.810638,-1.69277,2.71013,-4.15889,-1.30527,0.785108
51,0.836796,-1.69632,2.71274,-4.15793,-1.34459,0.78504
52,0.871112,-1.697,2.71371,-4.15789,-1.39384,0.785496
