Waypoint,j0,j1,j2,j3,j4,j5
0,0,-1.5708,0,-1.5708,0,0
1,0.396458,-1.12302,1.99651,-4.0151,-0.344074,0.785414
2,0.393843,-1.14415,2.0315,-4.02895,-0.36918,0.785409
3,0.388229,-1.16501,2.06862,-4.0452,-0.391285,0.785397
4,0.386272,-1.18626,2.10324,-4.05856,-0.417128,0.785394
5,0.384316,-1.20751,2.13785,-4.07193,-0.44297,0.78539
6,0.382359,-1.22876,2.17247,-4.08529,-0.468813,0.785387
7,0.380403,-1.25001,2.20708,-4.09865,-0.494656,0.785384
8,0.379423,-1.26065,2.22442,-4.10534,-0.507598,0.785382
9,0.37991,-1.28197,2.2578,-4.1174,-0.536253,0.785383
10,0.38156,-1.3037,2.29116,-4.12904,-0.566633,0.785385
11,0.384379,-1.3246,2.32258,-4.13956,-0.597115,0.785386
12,0.388633,-1.34583,2.35379,-4.14954,-0.629518,0.785387
13,0.394386,-1.36678,2.38387,-4.15867,-0.663146,0.785388
14,0.401624,-1.38644,2.41217,-4.16784,-0.697163,0.78635
