Waypoint,j0,j1,j2,j3,j4,j5
0,0,-1.5708,0,-1.5708,0,0
1,1.25338,-1.01783,2.04141,-4.16518,-1.19862,0.785399
2,1.28826,-1.03148,2.07028,-4.18039,-1.28066,0.785398
3,1.32606,-1.04282,2.09406,-4.19283,-1.36498,0.785398
4,1.34735,-1.04642,2.10144,-4.19661,-1.40931,0.785398
5,1.38833,-1.05469,2.11871,-4.20561,-1.49608,0.785398
6,1.41,-1.05772,2.12479,-4.20865,-1.54052,0.785398
7,1.43168,-1.06076,2.13086,-4.2117,-1.58496,0.785397
8,1.43452,-1.06115,2.13166,-4.2121,-1.59078,0.785397
9,1.4571,-1.06267,2.13485,-4.21377,-1.63575,0.785397
10,1.48072,-1.06359,2.13679,-4.21479,-1.68232,0.785398
11,1.50477,-1.06387,2.13739,-4.21511,-1.72937,0.785398
12,1.52858,-1.06352,2.13666,-4.21473,-1.77565,0.785398
13,1.55141,-1.06262,2.13478,-4.21375,-1.81984,0.785398
14,1.5762,-1.06103,2.13144,-4.212,-1.86769,0.785398
15,1.59905,-1.05901,2.12719,-4.20977,-1.91174,0.785398
16,1.6234,-1.05626,2.12143,-4.20675,-1.95868,0.785398
17,1.64923,-1.05267,2.11389,-4.20281,-2.00859,0.785398
18,1.67187,-1.04895,2.10607,-4.19872,-2.05249,0.785399
19,1.69669,-1.04388,2.09596,-4.19322,-2.09969,0.786399
