Waypoint,j0,j1,j2,j3,j4,j5
0,0,-1.5708,0,-1.5708,0,0
1,0.368152,-0.782127,1.7243,-4.08379,-0.312067,0.785417
2,0.374507,-0.764776,1.68521,-4.0613,-0.292731,0.784624
3,0.382728,-0.742763,1.63358,-4.03225,-0.268644,0.785222
4,0.391397,-0.719667,1.5814,-4.0032,-0.244965,0.785254
5,0.400425,-0.695917,1.52812,-3.97368,-0.221608,0.785279
6,0.409785,-0.67144,1.47358,-3.94365,-0.198545,0.785308
7,0.420914,-0.641502,1.4082,-3.90814,-0.172284,0.785245
8,0.432039,-0.612232,1.34386,-3.87301,-0.147267,0.785192
9,0.442982,-0.583133,1.28027,-3.83843,-0.123588,0.785102
10,0.453569,-0.554545,1.21812,-3.80471,-0.101428,0.78494
11,0.463586,-0.526977,1.15846,-3.77231,-0.081048,0.784635
12,0.472779,-0.501145,1.10277,-3.74185,-0.0627859,0.784032
13,0.480885,-0.477945,1.05291,-3.71395,-0.0469976,0.782794
14,0.487702,-0.458293,1.01077,-3.68887,-0.0339229,0.780191
15,0.495546,-0.44524,0.981515,-3.62938,-0.019348,0.736912
16,0.499676,-0.439812,0.970002,-3.58958,-0.0109419,0.703192
17,0.50167,-0.443172,0.975629,-3.55578,-0.00767261,0.667131
18,0.503663,-0.446533,0.981257,-3.52199,-0.00440331,0.63107
19,0.505656,-0.449893,0.986884,-3.4882,-0.001134,0.59501
20,0.507649,-0.453253,0.992512,-3.4544,0.0021353,0.558949
21,0.508654,-0.454947,0.995349,-3.43736,0.00378358,0.540768
22,0.50823,-0.472844,1.02851,-3.38754,0.00277493,0.475675
23,0.507775,-0.491181,1.06112,-3.33409,0.00190323,0.407957
24,0.507705,-0.500383,1.07566,-3.30368,0.00166256,0.372198
25,0.507545,-0.518593,1.106,-3.24512,0.00121126,0.301513
26,0.50748,-0.52777,1.12016,-3.21443,0.000965715,0.265832
27,0.507414,-0.536946,1.13432,-3.18373,0.000720172,0.230151
28,0.507349,-0.546122,1.14847,-3.15304,0.00047463,0.19447
29,0.507283,-0.555298,1.16263,-3.12234,0.000229088,0.158789
30,0.507249,-0.560058,1.16997,-3.10642,0.000101741,0.140283
31,0.507265,-0.56863,1.18167,-3.07401,6.21324e-05,0.104748
32,0.507279,-0.577344,1.19316,-3.04042,2.40347e-05,0.0683689
33,0.507291,-0.586194,1.20442,-3.00559,-1.25711e-05,0.0311284
34,0.507302,-0.595168,1.21541,-2.9695,-4.77177e-05,-0.00698108
35,0.50731,-0.60425,1.22607,-2.9321,-8.14515e-05,-0.0459576
36,0.507317,-0.613423,1.23636,-2.89339,-0.000113833,-0.0857901
37,0.50733,-0.622626,1.2462,-2.85334,-0.000145773,-0.126466
38,0.507267,-0.629511,1.25193,-2.81708,0.000338287,-0.161532
39,0.507283,-0.637432,1.25959,-2.78092,0.000312461,-0.197438
40,0.507298,-0.645319,1.26682,-2.74392,0.000287548,-0.23377
41,0.507311,-0.653151,1.27357,-2.70611,0.000263507,-0.270508
42,0.507324,-0.660911,1.27983,-2.66749,0.000240292,-0.307629
43,0.507335,-0.668577,1.28557,-2.62807,0.000217852,-0.345111
44,0.507345,-0.676129,1.29076,-2.58789,0.000196133,-0.38293
45,0.507355,-0.683544,1.29537,-2.54696,0.000175077,-0.421064
46,0.507366,-0.69083,1.29943,-2.50531,0.000155487,-0.459485
47,0.507379,-0.70245,1.30475,-2.43478,0.000122866,-0.52371
48,0.506624,-0.714162,1.31007,-2.36495,4.49793e-05,-0.587153
49,0.506627,-0.723965,1.31179,-2.29506,3.10081e-05,-0.648959
50,0.50589,-0.733889,1.31359,-2.22529,-1.91407e-07,-0.710608
51,0.50589,-0.741938,1.31204,-2.1555,6.71017e-09,-0.770798
52,0.505143,-0.750088,1.3107,-2.08586,9.05553e-06,-0.830944
53,0.505144,-0.756343,1.30614,-2.01631,2.23667e-05,-0.889683
54,0.505145,-0.761711,1.30015,-1.94662,3.56316e-05,-0.948014
55,0.504415,-0.767132,1.29453,-1.87747,9.77479e-05,-1.00612
56,0.504424,-0.770677,1.2859,-1.8083,0.000125318,-1.06311
57,0.504434,-0.773324,1.27599,-1.73913,0.00015388,-1.11973
58,0.504446,-0.775068,1.26485,-1.67,0.000183683,-1.17598
59,0.504461,-0.775908,1.25252,-1.60094,0.000214984,-1.23187
60,0.504478,-0.775846,1.23904,-1.53199,0.000248045,-1.2874
61,0.504497,-0.774888,1.22446,-1.46318,0.000283134,-1.34259
62,0.50452,-0.77304,1.20883,-1.39455,0.000320524,-1.39744
63,0.504544,-0.770313,1.19217,-1.3261,0.000360483,-1.45195
64,0.504572,-0.76672,1.17454,-1.25787,0.000403271,-1.50614
65,0.504542,-0.762371,1.15606,-1.18982,0.000379377,-1.56005
66,0.507821,-0.751381,1.12546,-1.11404,-0.000798251,-1.61624
67,0.507761,-0.745089,1.1047,-1.04566,-0.000883063,-1.67014
68,0.507699,-0.737964,1.08305,-0.977447,-0.000971623,-1.72383
69,0.506033,-0.7325,1.06473,-0.907395,-0.000100737,-1.78103
70,0.505008,-0.729581,1.05524,-0.870114,0.000568026,-1.81174
71,0.50387,-0.726572,1.04568,-0.831795,0.00142034,-1.84351
72,0.503891,-0.722122,1.03367,-0.794176,0.00158528,-1.87352
73,0.505245,-0.711487,1.00927,-0.73965,0.000531313,-1.91429
