Waypoint,j0,j1,j2,j3,j4,j5
0,-2.99109,-1.76642,-1.43227,-3.08485,-2.26888,-2.35644
1,-2.97734,-1.73189,-1.47368,-3.07762,-2.22175,-2.3562
2,-2.962,-1.69851,-1.51228,-3.07241,-2.17331,-2.3562
3,-2.94494,-1.66586,-1.54887,-3.06846,-2.12343,-2.3562
4,-2.92609,-1.63397,-1.5835,-3.06573,-2.07209,-2.3562
5,-2.90542,-1.60288,-1.61619,-3.06412,-2.01924,-2.3562
6,-2.88287,-1.57266,-1.64697,-3.06356,-1.96488,-2.3562
7,-2.85842,-1.54335,-1.67587,-3.06397,-1.909,-2.3562
8,-2.83208,-1.51505,-1.70289,-3.06525,-1.85162,-2.3562
9,-2.80385,-1.48782,-1.72807,-3.0673,-1.79278,-2.3562
10,-2.77379,-1.46176,-1.75142,-3.07001,-1.73255,-2.3562
11,-2.74196,-1.43694,-1.77297,-3.07327,-1.67102,-2.35619
12,-2.70847,-1.41347,-1.79275,-3.07697,-1.60831,-2.35619
13,-2.67346,-1.39142,-1.81079,-3.08098,-1.54456,-2.35619
14,-2.63708,-1.37087,-1.82713,-3.08519,-1.47995,-2.35619
15,-2.59954,-1.35191,-1.84182,-3.08946,-1.41468,-2.35619
16,-2.56104,-1.33458,-1.8549,-3.0937,-1.34898,-2.35619
17,-2.54102,-1.32758,-1.85997,-3.09563,-1.31573,-2.35619
18,-2.51588,-1.31879,-1.86634,-3.09806,-1.27397,-2.35619
19,-2.49074,-1.31,-1.8727,-3.10049,-1.2322,-2.35619
20,-2.4656,-1.3012,-1.87907,-3.10291,-1.19044,-2.35619
21,-2.44045,-1.29241,-1.88543,-3.10534,-1.14868,-2.35619
22,-2.41344,-1.28734,-1.88878,-3.10706,-1.10514,-2.35619
23,-2.3881,-1.27923,-1.8946,-3.10936,-1.06328,-2.35619
24,-2.36172,-1.2737,-1.89839,-3.1111,-1.0204,-2.35619
25,-2.33529,-1.26891,-1.90165,-3.11263,-0.977514,-2.35619
26,-2.3089,-1.26486,-1.90438,-3.11394,-0.934669,-2.35619
27,-2.28259,-1.26158,-1.90659,-3.11501,-0.891918,-2.35619
28,-2.25643,-1.25907,-1.90827,-3.11584,-0.849314,-2.35619
29,-2.23049,-1.25734,-1.90942,-3.11642,-0.80691,-2.35619
30,-2.20483,-1.25641,-1.91004,-3.11673,-0.764758,-2.35619
31,-2.15458,-1.25697,-1.90968,-3.11654,-0.681405,-2.35619
32,-2.10614,-1.26078,-1.90714,-3.11526,-0.59963,-2.35619
33,-2.05991,-1.26786,-1.90238,-3.11294,-0.519758,-2.35619
34,-2.01625,-1.27821,-1.89533,-3.10964,-0.442057,-2.35619
35,-1.97543,-1.29178,-1.88592,-3.10549,-0.366729,-2.35619
36,-1.93768,-1.30852,-1.87404,-3.10063,-0.293909,-2.35619
37,-1.90312,-1.32832,-1.85961,-3.09526,-0.223664,-2.35619
38,-1.87184,-1.35108,-1.84251,-3.0896,-0.156004,-2.35619
39,-1.84386,-1.37669,-1.82261,-3.08394,-0.0908876,-2.35614
40,-1.81913,-1.40522,-1.79963,-3.07942,-0.0282315,-2.35511
41,-1.79761,-1.43609,-1.77378,-3.07446,0.0320779,-2.35505
42,-1.77918,-1.46911,-1.74499,-3.06915,0.0901797,-2.35613
43,-1.76373,-1.50464,-1.7127,-3.06587,0.146222,-2.35617
44,-1.75114,-1.54232,-1.67696,-3.06393,0.200362,-2.35618
45,-1.74124,-1.58202,-1.63763,-3.06355,0.252753,-2.35618
46,-1.73391,-1.62364,-1.59456,-3.065,0.303548,-2.35619
47,-1.72898,-1.6671,-1.54758,-3.06851,0.352889,-2.35619
48,-1.72632,-1.71234,-1.49651,-3.07435,0.400908,-2.35619
49,-1.72576,-1.75933,-1.44113,-3.08273,0.447723,-2.35619
50,-1.72717,-1.80809,-1.3812,-3.09391,0.493438,-2.35619
51,-1.73041,-1.85867,-1.31638,-3.10814,0.538141,-2.35619
52,-1.73247,-1.88494,-1.28159,-3.11666,0.560333,-2.35619
