idx,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
0,True,True,True,True,0.397,0.483,-0.24769799254590283,0.7034526512011504,0.2695,81.25112619156135,-7.963315768182363,-1.0
1,True,True,True,True,0.397,0.483,-0.13630465868278063,0.7005163255656026,0.2695,96.62403865560559,-7.963315768182363,-1.0
2,True,True,True,True,0.397,0.483,-0.3160894067143609,0.6388929919535771,0.2695,91.57179712417627,-7.963315768182363,-1.0
3,True,True,True,True,0.397,0.483,-0.08696451107723796,0.697242363112389,0.2695,106.50319666341107,-7.963315768182363,-1.0
4,True,True,True,True,0.397,0.483,-0.30579231129727247,0.704475523742041,0.2695,93.14932342399771,-7.963315768182363,-1.0
5,True,True,True,True,0.397,0.483,-0.2567829992738184,0.6960144106101591,0.2695,98.1240539929123,-7.963315768182363,-1.0
6,True,True,True,True,0.397,0.483,-0.1585585738653586,0.6851014224751136,0.2695,87.69264857326526,-7.963315768182363,-1.0
7,True,True,True,True,0.397,0.483,-0.338856161619908,0.6820835447015563,0.2695,74.75762266151312,-7.963315768182363,-1.0
8,True,True,True,True,0.397,0.483,-0.3227501054817652,0.623715255216468,0.2695,73.70047613374358,-7.963315768182363,-1.0
9,True,True,True,True,0.397,0.483,-0.26534778224292743,0.6578904970938975,0.2695,87.6626235154184,-7.963315768182363,-1.0
10,True,True,True,True,0.397,0.483,-0.3101831627897973,0.6783914660464749,0.2695,87.45965692161542,-7.963315768182363,-1.0
11,True,True,True,True,0.397,0.483,-0.325263400369126,0.6668852439138404,0.2695,74.89914723422521,-7.963315768182363,-1.0
12,True,True,True,True,0.397,0.483,-0.3291562413482223,0.6459943973302972,0.2695,90.20302167121139,-7.963315768182363,-1.0
13,True,True,True,True,0.397,0.483,-0.1343024357959561,0.6881780176040738,0.2695,97.20979303602157,-7.963315768182363,-1.0
14,True,True,True,True,0.397,0.483,-0.3286512825845959,0.6590384871530213,0.2695,85.57071902243197,-7.963315768182363,-1.0
15,True,True,True,True,0.397,0.483,-0.19061692154967289,0.6996695048045944,0.2695,82.81531937052547,-7.963315768182363,-1.0
16,True,True,True,True,0.397,0.483,-0.2713411357096481,0.6861281772806362,0.2695,72.40023102497575,-7.963315768182363,-1.0
17,True,True,True,True,0.397,0.483,-0.30904729590694324,0.691404825038854,0.2695,79.88702561001624,-7.963315768182363,-1.0
18,True,True,True,True,0.397,0.483,-0.2527224594129009,0.7009402008987582,0.2695,98.99469281478777,-7.963315768182363,-1.0
19,True,True,True,True,0.397,0.483,-0.20361849300218887,0.6836089143806439,0.2695,96.50896823092272,-7.963315768182363,-1.0
20,True,True,True,True,0.397,0.483,-0.3483456620444961,0.6335337314860625,0.2695,78.87268134548378,-7.963315768182363,-1.0
21,True,True,True,True,0.397,0.483,-0.27405460665232034,0.6943175186686095,0.2695,90.69312061868499,-7.963315768182363,-1.0
22,True,True,True,True,0.397,0.483,-0.2525048641404549,0.6808916402485541,0.2695,87.90200330595056,-7.963315768182363,-1.0
