idx,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
52,True,True,True,True,0.315,0.315,-0.02098740536626731,0.7095696235267112,0.2805,103.3206535958902,-10.055566156080955,-1.0
53,True,True,True,True,0.315,0.315,-0.3286512825845959,0.6590384871530213,0.2805,85.57071902243197,-10.055566156080955,-1.0
54,True,True,True,True,0.315,0.315,-0.19061692154967289,0.6996695048045944,0.2805,82.81531937052547,-10.055566156080955,-1.0
55,True,True,True,True,0.315,0.315,-0.15836810350722125,0.6733019333009131,0.2805,98.62367247750247,-10.055566156080955,-1.0
56,True,True,True,True,0.315,0.315,-0.34944858901434417,0.5535274589391903,0.2805,78.18855110964417,-10.055566156080955,-1.0
57,True,True,True,True,0.315,0.315,-0.1988084175244609,0.6128528579117053,0.2805,90.0613174750147,-10.055566156080955,-1.0
58,True,True,True,True,0.315,0.315,-0.22819299203552904,0.6187441502423305,0.2805,98.8319931371444,-10.055566156080955,-1.0
59,True,True,True,True,0.315,0.315,-0.05639696845832315,0.6447516085510527,0.2805,79.84667861731697,-10.055566156080955,-1.0
60,True,True,True,True,0.315,0.315,-0.2713411357096481,0.6861281772806362,0.2805,72.40023102497575,-10.055566156080955,-1.0
61,True,True,True,True,0.315,0.315,-0.3109475208156787,0.61298599845691,0.2805,94.8964061278199,-10.055566156080955,-1.0
62,True,True,True,True,0.315,0.315,-0.09031751331266119,0.6470421592765064,0.2805,96.56611738432186,-10.055566156080955,-1.0
63,True,True,True,True,0.315,0.315,-0.30904729590694324,0.691404825038854,0.2805,79.88702561001624,-10.055566156080955,-1.0
64,True,True,True,True,0.315,0.315,-0.0038806801406022773,0.6578534474682313,0.2805,82.8483338618315,-10.055566156080955,-1.0
65,True,True,True,True,0.315,0.315,-0.0855736801403576,0.642516153953558,0.2805,70.90561026671676,-10.055566156080955,-1.0
66,True,True,True,True,0.315,0.315,-0.2454556330914746,0.6138018117997681,0.2805,105.30335782400738,-10.055566156080955,-1.0
67,True,True,True,True,0.315,0.315,-0.22539892807834866,0.6191642333434736,0.2805,70.7188888092428,-10.055566156080955,-1.0
68,True,True,True,True,0.315,0.315,-0.3203171169563715,0.5473842271292766,0.2805,77.1044334242157,-10.055566156080955,-1.0
69,True,True,True,True,0.315,0.315,-0.04374933418401428,0.6288692753579692,0.2805,94.03702356634737,-10.055566156080955,-1.0
70,True,True,True,True,0.315,0.315,-0.26616098747013606,0.6401034023182769,0.2805,71.3531434846491,-10.055566156080955,-1.0
71,True,True,True,True,0.315,0.315,-0.09447735665420154,0.631861801219419,0.2805,80.78232846889311,-10.055566156080955,-1.0
72,True,True,True,True,0.315,0.315,-0.27669717664701343,0.5679499567744676,0.2805,86.69849869140916,-10.055566156080955,-1.0
73,True,True,True,True,0.315,0.315,-0.2527224594129009,0.7009402008987582,0.2805,98.99469281478777,-10.055566156080955,-1.0
74,True,True,True,True,0.315,0.315,-0.24212315652815375,0.618850187620194,0.2805,104.11940390096305,-10.055566156080955,-1.0
75,True,True,True,True,0.315,0.315,-0.13333140313798744,0.6145212031786509,0.2805,77.89892461386016,-10.055566156080955,-1.0
76,True,True,True,True,0.315,0.315,-0.09631047266783782,0.6153711428849501,0.2805,105.00660700172526,-10.055566156080955,-1.0
77,True,True,True,True,0.315,0.315,-0.16577270446413522,0.6747034805529184,0.2805,88.48266674782735,-10.055566156080955,-1.0
78,True,True,True,True,0.315,0.315,-0.2131172385654415,0.5843165783472862,0.2805,80.50329627782406,-10.055566156080955,-1.0
79,True,True,True,True,0.315,0.315,-0.20361849300218887,0.6836089143806439,0.2805,96.50896823092272,-10.055566156080955,-1.0
80,True,True,True,True,0.315,0.315,-0.3483456620444961,0.6335337314860625,0.2805,78.87268134548378,-10.055566156080955,-1.0
81,True,True,True,True,0.315,0.315,-0.18129261073347738,0.5929457494822334,0.2805,72.93308341534488,-10.055566156080955,-1.0
82,True,True,True,True,0.315,0.315,-0.15627396897168297,0.6419757935223437,0.2805,108.59545437983768,-10.055566156080955,-1.0
83,True,True,True,True,0.315,0.315,-0.18379553579365615,0.6091969251533527,0.2805,88.60101462631646,-10.055566156080955,-1.0
84,True,True,True,True,0.315,0.315,-0.27405460665232034,0.6943175186686095,0.2805,90.69312061868499,-10.055566156080955,-1.0
85,True,True,True,True,0.315,0.315,-0.2525048641404549,0.6808916402485541,0.2805,87.90200330595056,-10.055566156080955,-1.0
86,True,True,True,True,0.315,0.315,-0.09888732859322336,0.621036519755071,0.2805,76.00530896356253,-10.055566156080955,-1.0
87,True,True,True,True,0.315,0.315,-0.2991444555241631,0.6338948176837931,0.2805,81.8336668399633,-10.055566156080955,-1.0
88,True,True,True,True,0.315,0.315,-0.2271850106320645,0.6501602918566249,0.2805,93.84946947129284,-10.055566156080955,-1.0
89,True,True,True,True,0.315,0.315,-0.34829441514729687,0.5202668893789892,0.2805,81.3423365149088,-10.055566156080955,-1.0
90,True,True,True,True,0.315,0.315,-0.32937150402959575,0.6374715246818974,0.2805,71.30810465417534,-10.055566156080955,-1.0
91,True,True,True,True,0.315,0.315,-0.28483587781604536,0.6706616159088983,0.2805,86.88964238119456,-10.055566156080955,-1.0
92,True,True,True,True,0.315,0.315,-0.3246155621196846,0.681050319455391,0.2805,82.39061854972415,-10.055566156080955,-1.0
93,True,True,True,True,0.315,0.315,-0.0009405191005224522,0.6343150629712315,0.2805,92.4712686153489,-10.055566156080955,-1.0
94,True,True,True,True,0.315,0.315,-0.2313743518796016,0.6054669194443282,0.2805,98.46578233514276,-10.055566156080955,-1.0
95,True,True,True,True,0.315,0.315,-0.28405765472755895,0.6759184142900465,0.2805,92.1164830398565,-10.055566156080955,-1.0
96,True,True,True,True,0.315,0.315,-0.060814828100597074,0.6885339777082159,0.2805,99.16596797379766,-10.055566156080955,-1.0
97,True,True,True,True,0.315,0.315,-0.05655627633329835,0.6337962257489217,0.2805,105.14933876470673,-10.055566156080955,-1.0
98,True,True,True,True,0.315,0.315,-0.3276217017066822,0.6895411527695641,0.2805,92.30203775555515,-10.055566156080955,-1.0
99,True,True,True,True,0.315,0.315,-0.237274611364275,0.6757130510350564,0.2805,109.69958425658,-10.055566156080955,-1.0
100,True,True,True,True,0.315,0.315,-0.064765365323051,0.6661467183448182,0.2805,97.84150865175484,-10.055566156080955,-1.0
101,True,True,True,True,0.315,0.315,-0.21270199459141673,0.6522430457195032,0.2805,94.03405364791323,-10.055566156080955,-1.0
102,True,True,True,True,0.315,0.315,-0.20077235542241195,0.6416604911155502,0.2805,95.16857493950829,-10.055566156080955,-1.0
103,True,True,True,True,0.315,0.315,-0.24279619808820474,0.6025659984710608,0.2805,71.99470834808517,-10.055566156080955,-1.0
104,True,True,True,True,0.315,0.315,-0.08075637410450359,0.6542043996431359,0.2805,100.64600666574383,-10.055566156080955,-1.0
105,True,True,True,True,0.315,0.315,-0.03734289620208947,0.6670584086804361,0.2805,96.53349614503156,-10.055566156080955,-1.0
106,True,True,True,True,0.315,0.315,-0.21610394523742743,0.5793876679555996,0.2805,76.17295018917093,-10.055566156080955,-1.0
107,True,True,True,True,0.315,0.315,-0.29866253081998734,0.571604078024021,0.2805,81.90905327934422,-10.055566156080955,-1.0
108,True,True,True,True,0.315,0.315,-0.32322563086946693,0.6307129831877347,0.2805,77.48579602471489,-10.055566156080955,-1.0
109,True,True,True,False,0.315,0.315,-0.1930529016366282,0.6565405685124925,0.2805,89.72297209157755,-10.055566156080955,-1.0
110,True,True,True,True,0.315,0.315,-0.09242959886046975,0.7032772171341033,0.2805,109.33420756841393,-10.055566156080955,-1.0
111,True,True,True,True,0.315,0.315,-0.3217065818138639,0.5430292796643285,0.2805,74.90314093288748,-10.055566156080955,-1.0
112,True,True,True,True,0.315,0.315,-0.22138367255434968,0.5834626125745346,0.2805,105.74421861471117,-10.055566156080955,-1.0
113,True,True,True,True,0.315,0.315,-0.2338972279125031,0.7061027013648269,0.2805,96.18184238961099,-10.055566156080955,-1.0
114,True,True,True,True,0.315,0.315,-0.15745506665873907,0.6268737509499256,0.2805,79.87090547666638,-10.055566156080955,-1.0
115,True,True,True,True,0.315,0.315,-0.21875939044428686,0.6721210063201497,0.2805,99.36513008032018,-10.055566156080955,-1.0
116,True,True,True,True,0.315,0.315,-0.23464895958493792,0.6773029719568427,0.2805,90.35583512633848,-10.055566156080955,-1.0
117,True,True,True,True,0.315,0.315,-0.33419160730830866,0.679934346314864,0.2805,70.31309597029504,-10.055566156080955,-1.0
118,True,True,True,True,0.315,0.315,-0.09312608656704197,0.6531660695175713,0.2805,78.38065288395799,-10.055566156080955,-1.0
119,True,True,True,True,0.315,0.315,-0.14682075095284453,0.668326587949194,0.2805,100.8293957287976,-10.055566156080955,-1.0
120,True,True,True,True,0.315,0.315,-0.21884501174831225,0.638879672506354,0.2805,107.97445209242383,-10.055566156080955,-1.0
121,True,True,True,True,0.315,0.315,-0.0583798068015573,0.704065402337742,0.2805,73.66299730252416,-10.055566156080955,-1.0
122,True,True,True,True,0.315,0.315,-0.0030924111257557008,0.6360794273134602,0.2805,108.3894653903297,-10.055566156080955,-1.0
123,True,True,True,True,0.315,0.315,-0.33268881157042646,0.5205109376050725,0.2805,86.09113239585488,-10.055566156080955,-1.0
124,True,True,True,True,0.315,0.315,-0.331988112891193,0.5566875019437945,0.2805,88.51394283184315,-10.055566156080955,-1.0
125,True,True,True,True,0.315,0.315,-0.2781497901013774,0.6866451916504195,0.2805,93.44535879375998,-10.055566156080955,-1.0
126,True,True,True,True,0.315,0.315,-0.22720202101726367,0.6129486411538351,0.2805,93.92324329238195,-10.055566156080955,-1.0
127,True,True,True,True,0.315,0.315,-0.19459437107499128,0.5863205840239794,0.2805,108.5444896102716,-10.055566156080955,-1.0
128,True,True,True,True,0.315,0.315,-0.09558075910691488,0.6527919797977914,0.2805,74.28951544077817,-10.055566156080955,-1.0
129,True,True,True,True,0.315,0.315,-0.31302648265650734,0.6133093996320209,0.2805,77.04385378740395,-10.055566156080955,-1.0
130,True,True,True,True,0.315,0.315,-0.34049771883179214,0.6174786066436778,0.2805,73.47923860992695,-10.055566156080955,-1.0
131,True,True,True,True,0.315,0.315,-0.317861874365957,0.5589617502330673,0.2805,89.72959696457131,-10.055566156080955,-1.0
132,True,True,True,True,0.315,0.315,-0.06071819561571545,0.6914148663046273,0.2805,73.32506382652798,-10.055566156080955,-1.0
133,True,True,True,True,0.315,0.315,-0.27392655578961106,0.550791002186447,0.2805,71.35438378692865,-10.055566156080955,-1.0
134,True,True,True,True,0.315,0.315,-0.10075016858470925,0.6605878911337877,0.2805,90.44729347782557,-10.055566156080955,-1.0
135,True,True,True,True,0.315,0.315,-0.09460129746645429,0.708561491472343,0.2805,100.98752849554145,-10.055566156080955,-1.0
136,True,True,True,True,0.315,0.315,-0.19637233557428593,0.6338178124922297,0.2805,87.33889669808502,-10.055566156080955,-1.0
137,True,True,True,True,0.315,0.315,-0.12848735173570217,0.643875169528729,0.2805,82.11387196246807,-10.055566156080955,-1.0
138,True,True,True,True,0.315,0.315,-0.06063380071191293,0.6715746181450308,0.2805,76.63341722882373,-10.055566156080955,-1.0
