j0,j1,j2,j3,j4,j5
1.61189,-1.30953,1.91163,-0.602102,-5.38392,3.92699
1.63844,-1.34005,1.95239,-0.612329,-5.30732,3.92699
1.6685,-1.3677,1.98792,-0.62021,-5.22803,3.92699
1.70227,-1.39204,2.01834,-0.626296,-5.14581,3.92699
1.72049,-1.40293,2.03173,-0.628796,-5.1036,3.92699
1.73959,-1.41291,2.04387,-0.630954,-5.06065,3.92699
1.75956,-1.42196,2.05476,-0.632797,-5.01696,3.92699
1.78036,-1.43006,2.06441,-0.634352,-4.97257,3.92699
1.80196,-1.43716,2.07281,-0.635645,-4.92749,3.92699
1.8243,-1.44326,2.07996,-0.636699,-4.88177,3.92699
1.84735,-1.44833,2.08587,-0.637535,-4.83545,3.92699
1.87103,-1.45236,2.09053,-0.638171,-4.78857,3.92699
1.89528,-1.45532,2.09395,-0.638622,-4.7412,3.92699
1.92004,-1.45722,2.09612,-0.6389,-4.69339,3.92699
1.94521,-1.45805,2.09706,-0.639011,-4.64522,3.92699
1.97074,-1.45781,2.09677,-0.63896,-4.59676,3.92699
1.99651,-1.45651,2.09526,-0.638748,-4.54808,3.92699
2.02246,-1.45417,2.09254,-0.63837,-4.49927,3.92699
2.04848,-1.4508,2.08862,-0.637821,-4.45042,3.92699
2.07449,-1.44642,2.08351,-0.637091,-4.4016,3.92699
2.1004,-1.44107,2.07724,-0.636167,-4.3529,3.92699
2.12613,-1.43477,2.0698,-0.635034,-4.3044,3.92699
2.15158,-1.42756,2.06123,-0.633676,-4.25618,3.92699
2.17669,-1.41947,2.05155,-0.632075,-4.20832,3.92699
2.20137,-1.41056,2.04077,-0.630213,-4.1609,3.92699
2.22556,-1.40085,2.02892,-0.62807,-4.11397,3.92699
2.24919,-1.39039,2.01602,-0.625628,-4.06759,3.92699
2.27222,-1.37923,2.0021,-0.622868,-4.02184,3.92699
2.29459,-1.36741,1.98719,-0.619774,-3.97674,3.92699
2.31627,-1.35497,1.9713,-0.616329,-3.93236,3.92699
2.33721,-1.34195,1.95447,-0.61252,-3.88871,3.92699
2.35739,-1.32839,1.93672,-0.608332,-3.84584,3.92699
2.3768,-1.31433,1.91808,-0.603756,-3.80376,3.92699
2.39541,-1.2998,1.89859,-0.598781,-3.7625,3.92699
2.41321,-1.28485,1.87825,-0.593399,-3.72207,3.92699
2.43021,-1.26951,1.85711,-0.587605,-3.68248,3.92699
2.4464,-1.25379,1.83519,-0.581394,-3.64372,3.92699
2.46179,-1.23774,1.81251,-0.574763,-3.60581,3.92699
2.47639,-1.22138,1.78909,-0.56771,-3.56874,3.927
2.49021,-1.20473,1.76497,-0.560234,-3.53251,3.927
2.51556,-1.17064,1.71467,-0.544019,-3.4625,3.927
2.53798,-1.13563,1.66176,-0.526128,-3.39569,3.927
2.55765,-1.09979,1.60639,-0.506581,-3.33198,3.92701
2.57475,-1.06323,1.54866,-0.485398,-3.27123,3.92702
2.58945,-1.02599,1.48864,-0.46257,-3.21333,3.92707
2.60196,-0.987901,1.42605,-0.437006,-3.15813,3.92813
2.61248,-0.949435,1.36168,-0.41179,-3.1054,3.92745
2.6161,-0.929009,1.32629,-0.396914,-3.08099,3.92736
2.62423,-0.88975,1.25905,-0.369251,-3.03175,3.92704
2.62729,-0.869256,1.22316,-0.353872,-3.00838,3.92703
2.63035,-0.848762,1.18727,-0.338493,-2.98501,3.92701
2.6305,-0.847727,1.18546,-0.337716,-2.98383,3.92701
2.63537,-0.808765,1.1166,-0.30782,-2.94122,3.92701
2.63891,-0.769268,1.04569,-0.276409,-2.90128,3.927
2.63998,-0.750282,1.01101,-0.260716,-2.88384,3.927
2.64213,-0.711948,0.941035,-0.229075,-2.84847,3.927
2.64265,-0.691305,0.902649,-0.211333,-2.83158,3.927
2.64317,-0.670661,0.864264,-0.19359,-2.81469,3.927
2.64369,-0.650018,0.825878,-0.175848,-2.7978,3.927
2.64421,-0.629374,0.787492,-0.158105,-2.78091,3.927
2.64421,-0.629259,0.787278,-0.158006,-2.78081,3.927
