x,y,z,Mx,My,Mz
-0.116169,-0.521569,-0.501846,0.056311,0.021799,-0.012965
-0.526169,-0.941569,-0.601849,0.052311,0.029799,-0.008965
-1.466167,0.378431,-1.901848,0.076311,0.019799,-0.005965
-0.716167,1.268431,-2.191849,0.072311,-0.016201,0.002035
-0.146168,0.118431,-0.461845,0.022311,0.025799,-0.005965
0.193832,0.838431,-0.801846,-0.003689,0.001799,-0.017965
0.413832,0.548431,-0.641846,0.024311,0.078799,-0.013965
-0.576168,1.528431,0.828152,-0.055689,0.000799,-0.013965
0.203833,0.878431,0.108154,-0.006689,0.011799,-0.011965
0.173832,0.538431,0.638153,0.007311,0.018799,-0.010965
0.123833,1.138431,-1.311848,0.040311,-0.022201,-0.013965
-0.876167,-0.181569,-1.321846,0.041311,0.007799,-0.010965
-0.366169,-1.151569,-1.161846,0.024311,-0.006201,-0.018965
-0.446169,-0.911569,-1.781849,-0.006689,-0.029201,-0.009965
-0.526169,-1.051569,-0.591846,-0.002689,-0.013201,-0.009965
0.783832,-0.041569,-1.071846,0.033311,-0.015201,-0.011965
0.303831,0.548431,-0.701847,0.004311,0.012799,-0.007965
0.763832,0.908431,-0.781849,0.033311,0.035799,-0.015965
-0.026169,1.528431,0.208153,0.029311,0.097799,-0.010965
-0.196169,2.238431,0.918152,-0.000689,0.061799,-0.012965
0.613832,1.838431,-0.181847,0.017311,0.019799,-0.010965
-0.356169,1.038431,0.748154,-0.017689,0.004799,-0.007965
0.463831,0.308431,-0.841846,0.023311,-0.021201,-0.010965
-0.976168,-0.641569,-0.121849,-0.018689,-0.028201,-0.007965
-1.356169,-0.481569,-1.161846,-0.011689,-0.007201,-0.002965
-1.006168,-0.561569,-1.361847,0.021311,0.016799,-0.006965
-0.316168,-1.521569,-0.601849,0.004311,0.011799,-0.014965
1.133832,-1.241569,-0.651848,0.024311,0.000799,-0.015965
0.613832,-0.521569,-0.401848,-0.034689,-0.016201,-0.017965
1.503832,-0.391569,0.328152,0.005311,-0.003201,-0.017965
0.453833,0.728431,0.308151,-0.061689,0.005799,-0.015965
0.183832,0.498431,0.938152,-0.065689,0.014799,-0.011965
0.853832,0.128431,0.378151,-0.018689,-0.032201,-0.015965
0.373833,-1.311569,0.828152,-0.007689,-0.009201,-0.017965
-0.026169,-0.641569,-0.861847,0.006311,-0.065201,-0.013965
-0.396168,-0.831569,-0.991848,0.002311,-0.070201,-0.013965
-0.486168,-1.041569,-0.631847,0.005311,-0.029201,-0.009965
-0.796167,-0.471569,-1.381847,-0.001689,-0.025201,-0.015965
-0.496168,-0.901569,-1.141846,0.004311,-0.000201,-0.016965
0.653831,0.408431,-1.801846,0.009311,-0.029201,-0.018965
0.583832,0.198431,-0.131847,-0.038689,0.031799,-0.016965
1.183832,1.148431,0.538155,-0.068689,-0.007201,-0.014965
0.923832,1.528431,0.848152,-0.076689,0.017799,-0.019965
-0.296167,1.018431,1.638153,-0.083689,0.041799,-0.019965
0.293833,0.928431,-0.221848,-0.001689,-0.024201,-0.020965
-0.226168,-0.831569,0.008152,0.003311,-0.008201,-0.014965
-0.686169,-0.521569,0.218151,-0.010689,-0.059201,-0.013965
