x,y,z,Mx,My,Mz
0.17862,-0.095229,0.579597,0.001449,-0.016525,-0.003248
0.33862,-0.155229,0.079597,0.025449,0.007475,-0.006248
0.51862,-0.725229,0.869598,-0.009551,0.024475,-0.008248
0.31862,-1.555229,1.329597,-0.072551,-0.013525,-0.005248
-0.28138,-1.235229,1.749599,-0.125551,-0.009525,-0.005248
-0.891379,-1.825229,0.629597,-0.090551,0.060475,-0.011248
-0.24138,-2.015229,-0.060402,0.008449,0.013475,-0.008248
1.13862,-0.545229,0.709599,-0.006551,-0.080525,-0.006248
1.14862,-0.205229,0.689598,-0.065551,-0.119525,-0.006248
1.96862,-1.345229,1.779598,-0.014551,-0.080525,-0.007248
1.54862,-0.975229,-0.620403,-0.112551,-0.046525,-0.001248
0.06862,-2.305229,-0.140404,-0.130551,-0.003525,-0.002248
-0.801379,-1.975229,1.849598,-0.064551,0.048475,-0.006248
-0.05138,1.284771,0.809597,-0.017551,0.031475,-0.009248
0.808619,1.834771,-2.040401,0.127449,0.046475,-0.002248
-0.00138,1.824771,-1.200401,0.098449,0.009475,-0.003248
-0.43138,1.554771,0.989597,-0.005551,-0.018525,-0.012248
-0.191381,-1.395229,1.5196,0.000449,0.031475,-0.012248
-0.811379,-1.545229,0.749599,-0.180551,0.019475,-0.016248
-1.07138,-1.415229,0.059597,-0.213551,0.022475,-0.016248
-0.41138,-1.625229,0.439598,-0.030551,0.035475,-0.010248
0.60862,0.374771,-0.2304,0.050449,0.045475,-0.011248
-0.02138,1.704771,-0.450401,0.026449,-0.009525,-0.011248
0.67862,1.394771,-1.020401,0.010449,-0.036525,-0.010248
1.75862,0.124771,-0.120403,0.035449,-0.041525,-0.016248
0.71862,0.874771,0.0896,-0.008551,-0.072525,-0.019248
0.71862,0.724771,-0.0704,0.006449,-0.035525,-0.015248
0.78862,-0.485229,0.509598,0.024449,-0.003525,-0.010248
0.34862,-0.345229,0.9296,-0.040551,-0.030525,-0.010248
-0.23138,-0.405229,0.999599,-0.082551,-0.047525,-0.013248
-0.33138,-0.625229,0.0896,-0.068551,0.036475,-0.017248
-0.811379,-0.725229,-0.120403,-0.035551,0.087475,-0.015248
-0.891379,-0.675229,0.559597,-0.040551,0.046475,-0.014248
0.34862,-0.535229,-0.3204,-0.052551,0.013475,-0.016248
0.21862,-0.105229,0.2696,-0.087551,-0.046525,-0.018248
0.64862,-0.905229,0.099598,-0.026551,0.009475,-0.021248
0.00862,-0.385229,0.189598,-0.072551,0.006475,-0.019248
-0.03138,-0.875229,0.939598,-0.061551,0.023475,-0.022248
-0.27138,-0.625229,0.5896,-0.050551,0.034475,-0.024248
-0.00138,0.434771,-0.130402,-0.057551,0.011475,-0.023248
0.38862,0.514771,-0.650402,-0.021551,-0.011525,-0.024248
-0.08138,0.544771,-0.0704,-0.024551,-0.020525,-0.020248
0.07862,0.234771,-0.370403,0.002449,0.022475,-0.019248
-0.33138,-0.015229,0.149597,-0.019551,0.011475,-0.020248
-0.43138,0.054771,0.299599,-0.029551,-0.013525,-0.017248
0.11862,0.374771,-0.460403,0.004449,0.004475,-0.022248
0.308619,0.144771,0.169598,-0.006551,-0.000525,-0.027248
0.38862,-0.615229,0.669598,0.010449,0.023475,-0.024248
-0.28138,0.174771,-0.670403,-0.009551,0.026475,-0.023248
-0.10138,0.514771,-0.780403,-0.027551,0.004475,-0.021248
0.058619,0.434771,-0.330402,-0.030551,-0.012525,-0.015248
0.13862,0.374771,0.169598,-0.010551,-0.002525,-0.021248
0.44862,0.084771,-0.060402,-0.009551,-0.009525,-0.026248
0.52862,-0.075229,0.219597,-0.022551,-0.027525,-0.022248
0.15862,0.234771,0.049599,-0.040551,-0.012525,-0.023248
0.02862,0.254771,-0.250401,-0.037551,0.001475,-0.029248
1.11862,-0.845229,0.079597,0.030449,0.018475,-0.020248
0.49862,0.344771,0.739597,-0.025551,-0.051525,-0.023248
0.04862,1.164771,-1.020401,0.011449,-0.013525,-0.028248
0.41862,0.814771,-1.5704,0.034449,0.009475,-0.008248
-0.05138,1.134771,-0.680401,-0.044551,-0.055525,-0.019248
-0.14138,0.444771,-0.490402,-0.015551,-0.016525,-0.024248
0.52862,-0.715229,0.009598,0.029449,0.079475,-0.012248
-1.08138,0.704771,0.599598,-0.090551,-0.009525,-0.019248
-0.42138,0.174771,0.419598,-0.047551,-0.018525,-0.004248
1.20862,-1.265229,-0.030403,0.054449,0.058475,-0.004248
-0.26138,0.494771,-0.0704,-0.013551,-0.031525,-0.024248
-0.59138,1.284771,0.049599,-0.024551,-0.053525,0.003752
0.85862,-0.575229,-0.110401,0.038449,0.040475,-0.001248
0.28862,-1.245229,0.149597,-0.007551,0.031475,-0.031248
-0.77138,-0.115229,1.189598,-0.078551,-0.048525,0.000752
-0.15138,-0.205229,0.5896,-0.028551,-0.014525,0.002752
-0.27138,0.064771,-0.240402,-0.000551,0.007475,-0.023248
0.22862,0.264771,-0.670403,0.026449,0.019475,-0.003248
-0.27138,0.784771,0.189598,-0.049551,-0.029525,-0.001248
-0.07138,0.144771,0.289597,-0.015551,0.012475,-0.026248
0.28862,-0.125229,-0.310402,0.031449,0.053475,-0.007248
-0.58138,0.634771,0.409599,-0.046551,-0.019525,-0.005248
-0.03138,0.034771,0.069599,0.003449,-0.002525,-0.023248
0.65862,0.504771,-0.600403,0.022449,-0.008525,-0.002248
-0.11138,1.534771,-0.150402,-0.058551,-0.070525,-0.004248
-0.471379,0.484771,-0.120403,-0.043551,-0.029525,-0.017248
1.40862,-1.885229,-0.240402,0.078449,0.085475,-0.007248
-0.68138,0.134771,0.119598,-0.073551,-0.043525,-0.010248
-0.98138,0.504771,0.379597,-0.017551,-0.021525,-0.003248
0.20862,0.474771,-0.340401,0.058449,0.022475,-0.007248
0.26862,0.494771,-0.780403,0.032449,0.047475,-0.022248
0.29862,0.224771,0.119598,0.032449,0.049475,-0.009248
-0.34138,0.744771,0.529598,-0.033551,0.019475,-0.009248
0.09862,0.264771,0.0196,-0.004551,0.056475,-0.012248
-0.29138,0.914771,-0.020401,-0.030551,-0.005525,-0.010248
-0.09138,0.294771,-0.220402,-0.012551,0.008475,-0.005248
0.03862,0.154771,0.299599,-0.019551,-0.037525,-0.003248
0.59862,-0.775229,-0.210403,0.035449,0.012475,-0.013248
-0.10138,-0.085229,0.319599,-0.044551,-0.061525,-0.013248
0.18862,-0.995229,0.469597,-0.004551,-0.021525,-0.006248
-0.35138,-0.445229,-0.260403,-0.004551,-0.004525,-0.000248
-0.00138,-0.085229,-0.8204,0.023449,0.015475,-0.010248
0.23862,-0.295229,-0.830402,0.003449,0.022475,-0.011248
