x,y,z,Mx,My,Mz
-0.526108,2.00567,4.417976,0.068794,0.111098,-0.104744
-0.126106,1.80567,4.287979,0.088794,0.096098,-0.105744
-0.106108,2.02567,4.977978,0.106794,0.071099,-0.102744
0.253893,1.67567,5.14798,0.109794,0.080099,-0.105744
0.163893,0.96567,4.607979,0.093794,0.097098,-0.107744
-0.976107,1.45567,5.317978,0.071794,0.092098,-0.103744
-1.386106,1.90567,4.547981,0.083794,0.114098,-0.100744
-0.956106,1.58567,4.197975,0.125794,0.115098,-0.102744
-0.876106,1.69567,4.617981,0.124794,0.076099,-0.102744
-1.116106,1.92567,4.337975,0.100794,0.099099,-0.100744
-1.476107,2.54567,3.75798,0.075794,0.120098,-0.097744
-1.116106,2.33567,4.07798,0.079794,0.123098,-0.099744
-0.246107,1.42567,4.047981,0.106794,0.149098,-0.100744
-1.126106,2.50567,4.57798,0.036794,0.075098,-0.096744
-0.596107,2.47567,4.157974,0.116794,0.127099,-0.101744
-0.346107,2.64567,3.367981,0.083794,0.115098,-0.107744
0.423893,0.57567,3.837975,0.065794,0.131099,-0.111744
-0.546106,0.88567,4.14798,0.026794,0.065098,-0.104744
-0.736107,1.58567,4.437981,0.098794,0.076099,-0.102744
-0.556107,1.73567,4.197975,0.152794,0.129098,-0.102744
-0.516108,1.69567,3.627975,0.149794,0.148098,-0.101744
-0.976107,1.95567,4.32798,0.115794,0.141098,-0.100744
-1.266108,2.30567,4.25798,0.103794,0.155098,-0.100744
-1.316107,2.74567,3.697975,0.111794,0.119098,-0.099744
-1.146107,2.22567,3.687981,0.130794,0.099099,-0.099744
-1.106108,1.46567,4.037979,0.053794,0.070098,-0.103744
0.093893,0.37567,4.667976,0.079794,0.110098,-0.110744
-0.056107,1.14567,4.847977,0.080794,0.088098,-0.107744
-0.336107,1.62567,5.217979,0.087794,0.075098,-0.106744
-0.266108,1.68567,4.477982,0.132794,0.123098,-0.106744
-1.236107,2.63567,4.14798,0.101794,0.112098,-0.100744
-1.086107,2.19567,4.087975,0.117794,0.120098,-0.099744
-1.196106,2.44567,3.917976,0.109794,0.095098,-0.097744
-0.676107,1.82567,4.00798,0.135794,0.123098,-0.101744
-0.636106,1.94567,4.177979,0.077794,0.086098,-0.101744
-0.356108,1.97567,4.987976,0.110794,0.087098,-0.101744
-0.616106,2.47567,4.967979,0.143794,0.092098,-0.097744
-0.636106,2.50567,4.64798,0.118794,0.090099,-0.096744
-0.226107,1.19567,4.50798,0.103794,0.120098,-0.102744
-0.916107,0.83567,5.047977,0.060794,0.096098,-0.099744
-1.016108,1.31567,4.187981,0.062794,0.098098,-0.095744
-0.786106,1.59567,4.947979,0.054794,0.063098,-0.095744
-0.386106,1.46567,4.25798,0.072794,0.064098,-0.097744
-0.446106,1.66567,4.907978,0.106794,0.088098,-0.097744
-1.126106,2.35567,4.25798,0.097794,0.097098,-0.094744
-0.806107,1.63567,4.347977,0.140794,0.149098,-0.097744
-0.496107,1.24567,4.167976,0.117794,0.150099,-0.098744
-0.576107,1.43567,4.547981,0.087794,0.116098,-0.096744
-0.346107,1.41567,4.89798,0.103794,0.114098,-0.096744
-0.196106,1.76567,4.217979,0.128794,0.112098,-0.095744
-0.516108,1.71567,4.337975,0.148794,0.099099,-0.094744
-1.286106,1.49567,4.367981,0.082794,0.078098,-0.091744
-1.256107,1.24567,4.087975,0.073794,0.116098,-0.093744
-1.446106,1.38567,5.077976,0.053794,0.101098,-0.093744
-1.046106,1.89567,4.227982,0.057794,0.108099,-0.095744
-0.236107,2.53567,4.167976,0.122794,0.125098,-0.098744
-0.356108,2.24567,4.197975,0.137794,0.122099,-0.096744
-0.966106,1.95567,4.297981,0.117794,0.098098,-0.093744
-0.396107,1.50567,4.00798,0.163794,0.105098,-0.098744
-0.916107,2.18567,4.457977,0.119794,0.081098,-0.096744
-0.986107,1.98567,4.497978,0.129794,0.130098,-0.094744
-1.416107,2.17567,4.827976,0.102794,0.123098,-0.094744
-1.756107,2.53567,4.247978,0.080794,0.127099,-0.093744
-1.266108,2.07567,3.737976,0.106794,0.137098,-0.095744
-0.966106,1.92567,4.087975,0.100794,0.096098,-0.095744
-0.476107,1.37567,4.517975,0.106794,0.116098,-0.099744
-0.656107,1.60567,4.517975,0.064794,0.115098,-0.101744
-0.406107,1.61567,4.407974,0.113794,0.165098,-0.099744
-1.476107,2.64567,4.047981,0.069794,0.146098,-0.092744
-1.366106,2.19567,4.137978,0.099794,0.156098,-0.093744
-1.626106,2.02567,5.127979,0.082794,0.108099,-0.094744
-1.366106,1.04567,4.797981,0.086794,0.101098,-0.090744
-0.456106,0.43567,4.057976,0.121794,0.101098,-0.094744
-0.456106,0.90567,4.197975,0.107794,0.083098,-0.095744
-0.916107,1.34567,4.687981,0.078794,0.067098,-0.093744
-0.986107,1.32567,4.067978,0.063794,0.084098,-0.089744
-0.836107,1.36567,3.977982,0.073794,0.121098,-0.092744
-0.996107,2.84567,3.497978,0.083794,0.118098,-0.101744
-0.696106,2.71567,3.427979,0.126794,0.157098,-0.094744
-0.656107,2.87567,4.047981,0.090794,0.112098,-0.092744
0.363894,1.64567,4.597977,0.144794,0.129098,-0.100744
0.023893,1.68567,4.177979,0.094794,0.082098,-0.100744
-0.626106,2.01567,5.077976,0.086794,0.044098,-0.097744
-1.666107,1.53567,4.447975,0.063794,0.062099,-0.091744
-1.676107,1.22567,4.777977,0.058794,0.087098,-0.096744
-1.516108,1.35567,4.50798,0.061794,0.084098,-0.089744
-0.806107,0.82567,3.857979,0.085794,0.090099,-0.094744
-0.626106,1.04567,4.447975,0.123794,0.113099,-0.096744
-0.866106,1.47567,3.777977,0.119794,0.129098,-0.093744
-0.586107,1.32567,4.337975,0.101794,0.114098,-0.097744
-0.176107,0.97567,4.187981,0.095794,0.135098,-0.097744
-0.396107,1.87567,4.937977,0.070794,0.091098,-0.099744
-0.246107,1.93567,4.25798,0.113794,0.110098,-0.090744
-0.576107,2.08567,4.517975,0.075794,0.071099,-0.090744
-0.406107,1.78567,5.277977,0.113794,0.090099,-0.093744
-0.916107,2.22567,4.407974,0.118794,0.097098,-0.093744
-1.706106,3.20567,3.937981,0.103794,0.065098,-0.094744
-1.376106,2.55567,3.447975,0.164794,0.124098,-0.090744
-0.946106,1.82567,3.487976,0.159794,0.127099,-0.092744
-0.926107,1.29567,4.14798,0.126794,0.094099,-0.090744
-0.536106,1.07567,4.087975,0.151794,0.096098,-0.091744
-0.646107,1.77567,4.127975,0.132794,0.086098,-0.095744
-0.446106,1.55567,4.307976,0.112794,0.123098,-0.090744
-0.476107,2.28567,3.75798,0.063794,0.102098,-0.091744
-1.216106,2.96567,4.07798,0.038794,0.149098,-0.087744
-1.126106,3.30567,3.707977,0.071794,0.167098,-0.088744
-0.936108,3.00567,4.267975,0.116794,0.146098,-0.092744
-1.276108,2.22567,4.727982,0.116794,0.164099,-0.096744
-1.296106,1.76567,4.177979,0.061794,0.160098,-0.096744
-1.206106,0.89567,3.957977,0.098794,0.186098,-0.094744
-1.546106,1.38567,4.07798,0.110794,0.105098,-0.094744
-1.116106,0.24567,4.467979,0.156794,0.149098,-0.096744
-2.306107,1.44567,3.437981,0.071794,0.107098,-0.093744
-1.936108,0.70567,3.707977,0.098794,0.149098,-0.090744
-2.316107,1.47567,3.697975,0.047794,0.153098,-0.089744
-1.206106,2.31567,3.557976,0.070794,0.150099,-0.088744
-0.816107,2.02567,4.667976,0.071794,0.149098,-0.091744
-0.676107,2.52567,3.477982,0.064794,0.145099,-0.092744
-0.386106,1.86567,4.877979,0.099794,0.143098,-0.096744
-0.926107,1.49567,4.827976,0.092794,0.147098,-0.098744
-1.126106,1.85567,4.457977,0.088794,0.127099,-0.093744
-1.266108,2.35567,5.037979,0.076794,0.088098,-0.095744
-1.076107,1.93567,4.417976,0.111794,0.068098,-0.094744
-1.756107,0.86567,4.00798,0.096794,0.074098,-0.095744
-1.856108,1.00567,3.127975,0.121794,0.080099,-0.092744
-1.406107,1.72567,2.387978,0.108794,0.053098,-0.094744
-1.466106,1.44567,3.027977,0.081794,0.113099,-0.095744
-0.536106,2.44567,3.067978,0.145794,0.150099,-0.100744
-1.406107,3.18567,3.997978,0.089794,0.174098,-0.098744
-1.336107,3.31567,3.297981,0.082794,0.183098,-0.094744
-0.466106,2.14567,3.707977,0.056794,0.165098,-0.108744
0.203894,1.95567,4.467979,0.049794,0.142098,-0.100744
-0.336107,2.59567,5.157978,0.008794,0.092098,-0.101744
-1.036106,0.98567,5.017979,0.016794,0.136099,-0.099744
-1.516108,1.87567,4.177979,0.063794,0.079098,-0.096744
-1.976107,1.32567,4.017975,0.082794,0.104098,-0.097744
-1.566107,1.23567,2.777977,0.143794,0.088098,-0.098744
-0.996107,1.97567,2.737976,0.161794,0.074098,-0.096744
-0.766108,1.33567,3.987976,0.134794,0.115098,-0.097744
-0.386106,1.61567,3.457977,0.126794,0.111098,-0.102744
-0.726107,1.79567,3.537979,0.082794,0.137098,-0.100744
-0.696106,2.17567,4.107979,0.068794,0.118098,-0.104744
-0.106108,1.54567,3.627975,0.079794,0.152098,-0.103744
-0.636106,2.17567,4.707977,0.061794,0.126099,-0.106744
-1.156107,2.65567,4.637978,0.071794,0.179098,-0.102744
-1.566107,2.54567,4.877979,0.025794,0.148098,-0.100744
-0.946106,2.52567,4.037979,0.081794,0.047098,-0.103744
-1.676107,0.82567,4.377975,0.123794,0.108099,-0.102744
-1.896107,1.13567,2.437981,0.150794,0.113099,-0.104744
-1.666107,1.41567,2.487976,0.150794,0.099099,-0.103744
-2.146107,1.36567,2.887978,0.059794,0.144098,-0.102744
-1.196106,2.18567,3.047981,0.089794,0.155098,-0.100744
-0.776108,1.83567,4.50798,0.110794,0.133098,-0.102744
-0.606108,1.69567,3.777977,0.103794,0.135098,-0.101744
-0.996107,1.49567,4.57798,0.025794,0.179098,-0.104744
-0.406107,1.66567,4.467979,0.020794,0.173099,-0.103744
-1.126106,2.54567,4.64798,0.027794,0.198098,-0.098744
-1.846107,3.23567,4.277977,-0.027206,0.156098,-0.091744
-0.466106,1.94567,4.297981,0.020794,0.110098,-0.103744
-1.656107,0.83567,4.237976,0.010794,0.133098,-0.104744
-1.556107,1.32567,3.837975,0.111794,0.057099,-0.098744
-1.386106,1.05567,3.00798,0.136794,0.071099,-0.095744
-1.616106,0.85567,4.00798,0.089794,0.092098,-0.096744
-0.656107,1.50567,4.137978,0.143794,0.119098,-0.104744
-1.136106,1.86567,4.07798,0.103794,0.171098,-0.102744
-0.936108,2.09567,3.547981,0.053794,0.133098,-0.104744
-0.346107,1.33567,4.567978,0.052794,0.120098,-0.106744
-0.246107,1.39567,4.25798,0.048794,0.118098,-0.107744
-0.926107,2.06567,4.247978,0.017794,0.128098,-0.099744
-0.666107,2.27567,4.347977,0.033794,0.137098,-0.098744
