x,y,z,Mx,My,Mz
-0.261864,-0.549199,0.403427,0.001803,0.03432,-0.01801
0.428137,-0.409198,-0.426575,0.004803,0.02232,-0.01801
0.318136,0.030801,-0.086575,-0.086197,-0.04668,-0.02001
0.388136,-0.589199,-0.416573,-0.077197,-0.01268,-0.02301
0.158136,-0.609199,-0.176575,-0.072197,-0.01568,-0.02101
0.468136,-0.859199,0.183426,-0.046197,-0.00168,-0.02101
0.258137,-0.489199,-0.716576,-0.051197,-0.01168,-0.02201
0.728136,-0.109199,0.383427,-0.010197,0.00432,-0.02401
0.668137,0.620801,-0.636574,-0.003197,-0.02168,-0.02301
1.428137,0.770802,-0.986572,0.037803,-0.01268,-0.02301
1.578136,0.940802,-0.016575,0.021803,-0.01268,-0.02401
0.668137,0.250802,-0.666573,-0.028197,-0.00168,-0.02401
-0.141863,-0.379199,0.573425,-0.060197,-0.00168,-0.02401
0.298136,-0.859199,-0.106575,-0.039197,0.02832,-0.02401
-0.011864,-0.119198,-1.416573,-0.050197,-0.02268,-0.02201
0.018137,0.250802,-2.546574,-0.018197,-0.03068,-0.02101
0.188137,-0.149199,0.083427,-0.035197,-0.02168,-0.02201
0.308136,-0.709199,-0.816574,-0.038197,0.01732,-0.02301
-0.481863,0.010801,-1.136574,-0.070197,0.01432,-0.02001
-0.261864,0.720801,-0.146572,-0.064197,0.02232,-0.01901
0.318136,1.060802,-1.886574,-0.051197,-0.00968,-0.02101
0.638136,0.500802,-1.346573,-0.014197,-0.00768,-0.02001
0.298136,0.270802,0.133427,-0.001197,0.06132,-0.02001
0.398136,0.720801,-0.296574,-0.042197,0.06532,-0.02201
0.268137,1.970801,-2.426575,-0.123197,-0.06668,-0.01901
0.848137,0.700801,-0.906574,-0.018197,-0.02368,-0.02301
0.078136,0.310802,0.443424,-0.042197,0.07632,-0.02601
-1.421864,-0.169199,-1.146572,-0.147197,0.11632,-0.02601
-1.941864,-0.189198,-3.666573,-0.137197,0.02732,-0.02301
-0.451864,0.970801,-2.446575,-0.034197,-0.05868,-0.02101
1.268137,1.100801,-1.826572,0.048803,0.00332,-0.02301
-0.611864,1.650802,-4.626575,-0.072197,-0.03768,-0.01901
-0.791862,-0.169199,-2.166573,-0.061197,0.08032,-0.02401
-0.591864,0.080801,-1.946575,-0.100197,0.11932,-0.02601
-0.341864,1.040802,-3.176575,-0.095197,0.03932,-0.02601
-0.301863,1.640801,-5.386578,-0.063197,0.00232,-0.02201
-0.281864,1.070802,-1.996574,-0.120197,0.01332,-0.02501
0.948137,0.160801,-0.516575,-0.095197,0.10232,-0.03401
0.348137,2.060802,-2.956573,-0.098197,0.01932,-0.03201
0.418137,1.020802,-2.586575,-0.027197,0.02432,-0.03001
-0.171864,0.160801,-0.806576,-0.079197,0.02332,-0.02901
-0.391863,0.460802,-1.386574,-0.103197,0.03532,-0.03101
0.038137,0.820802,-1.766575,-0.024197,0.02332,-0.03201
0.418137,0.410801,-3.206573,0.031803,0.01532,-0.03101
-0.891863,1.000802,-2.306576,-0.079197,-0.02668,-0.03201
-0.511864,0.590802,-1.096573,-0.074197,0.02932,-0.03701
-0.311863,1.010801,-2.436573,-0.055197,0.00332,-0.03401
-0.141863,0.970801,-3.196575,0.002803,0.01932,-0.02901
-0.781864,0.960802,-2.096573,-0.074197,0.02832,-0.03001
0.158136,0.900802,-0.846573,-0.094197,0.06032,-0.03501
0.918137,1.530801,-1.926575,-0.058197,0.06832,-0.03401
-0.031864,1.030801,-2.296574,-0.081197,0.06232,-0.03301
-0.611864,-0.039198,-0.466576,-0.111197,0.06632,-0.03601
0.298136,0.440802,-1.096573,-0.090197,0.07532,-0.03801
0.368137,2.110802,-1.626575,-0.095197,0.00632,-0.03501
0.488136,0.800801,-2.636574,-0.042197,0.04632,-0.03601
-0.341864,0.420802,-3.166573,-0.068197,0.01132,-0.03501
-0.241863,0.610802,-1.706573,-0.053197,-0.01468,-0.03601
-0.411863,0.910801,-1.456573,-0.078197,-0.02168,-0.03701
-0.331863,0.370801,-0.976574,-0.070197,0.02732,-0.03801
-0.421864,0.360802,-3.056576,-0.040197,0.03732,-0.03701
-0.221863,0.790802,-2.996574,-0.033197,-0.02268,-0.03601
0.308136,0.530801,-1.906574,-0.035197,0.00232,-0.03801
0.308136,0.780801,-0.896572,-0.083197,0.01232,-0.04001
0.948137,1.360802,-2.446575,-0.066197,-0.00168,-0.03901
0.228136,1.640801,-3.246574,-0.075197,-0.03768,-0.03601
-0.121862,0.350801,-1.206573,-0.095197,-0.01468,-0.03601
0.118137,0.770802,-2.036575,-0.113197,0.00432,-0.03801
0.788137,1.910801,-1.096573,-0.055197,-0.00868,-0.03901
0.808136,1.010801,-2.096573,-0.017197,-0.00168,-0.03901
-0.421864,0.240801,-2.336575,-0.075197,-0.02168,-0.03701
0.018137,0.860802,-1.816574,-0.061197,-0.02568,-0.03701
1.098137,1.380802,-1.936573,-0.040197,0.02432,-0.04001
0.798136,0.220801,-2.486572,-0.097197,0.09732,-0.04401
-0.171864,-0.309198,-3.366573,-0.105197,0.07832,-0.04201
-0.671864,1.650802,-3.436573,-0.073197,-0.00468,-0.03601
0.548136,1.760801,-1.766575,-0.030197,0.05532,-0.04001
-0.251863,1.480802,-2.086575,-0.132197,0.07332,-0.03801
-0.381863,0.720801,-2.726574,-0.142197,0.02832,-0.03501
0.258137,0.190802,-1.886574,-0.098197,-0.04368,-0.03501
0.148136,-0.049199,-0.916573,-0.103197,-0.00568,-0.03701
-0.541862,0.220801,-1.506573,-0.157197,0.03332,-0.03901
-0.331863,0.470801,-4.086575,-0.122197,-0.00668,-0.03601
0.688137,0.250802,-2.276573,0.003803,-0.06668,-0.03501
0.778137,-0.029199,-2.346573,0.003803,0.03432,-0.03801
-0.501863,0.690802,-1.866573,-0.156197,0.06932,-0.04001
0.258137,0.830801,-3.646572,-0.119197,0.03432,-0.04001
0.348137,1.740801,-4.016575,-0.056197,-0.06068,-0.03501
0.458138,1.680801,-5.186573,-0.068197,0.03632,-0.03701
0.228136,1.960802,-3.266575,-0.272197,-0.00568,-0.03401
1.988136,1.510801,-7.386578,-0.360197,-0.05868,-0.02901
0.018137,3.690802,-6.186573,-0.433197,-0.09768,-0.03201
0.058136,3.290802,-4.386574,-0.293197,0.14632,-0.04601
1.018137,1.690802,-8.146572,-0.333197,0.31032,-0.05301
0.618137,2.480802,-10.166576,-0.429197,0.11432,-0.04701
0.858137,2.130802,-8.256573,-0.316197,0.00532,-0.04501
0.618137,1.370801,-6.656574,-0.271197,0.03632,-0.04101
0.648136,0.290802,-8.266575,-0.190197,0.13332,-0.04301
-0.081863,0.620801,-10.346577,-0.031197,0.10732,-0.04001
-0.281864,1.410801,-13.416576,0.141803,-0.02768,-0.03101
-0.111864,-0.679198,-9.806576,0.194803,-0.01268,-0.03601
1.358137,-2.679198,-7.736576,0.242803,0.00532,-0.04301
0.038137,-1.339198,-8.256573,0.149803,-0.01168,-0.03801
0.558136,-1.059198,-8.506573,0.150803,0.09032,-0.04201
0.968136,0.320802,-9.896572,0.139803,0.07532,-0.04501
1.468136,-0.349198,-10.666576,0.173803,0.13032,-0.04801
0.688137,-0.579198,-10.986576,0.155803,0.10632,-0.05001
1.618137,-1.889198,-11.606571,0.176803,0.04032,-0.06001
1.758137,-3.499199,-11.076572,0.256803,0.07932,-0.05901
2.408136,-3.869199,-12.866573,0.365803,0.02032,-0.05801
1.698137,-4.129198,-12.036572,0.480803,0.08832,-0.06001
