x,y,z,Mx,My,Mz
0.479961,2.945349,3.917992,-0.026055,0.12704,-0.166222
0.829962,2.755349,4.277992,-0.001055,0.07604,-0.166222
0.619963,2.355349,3.807999,0.012945,0.07604,-0.166222
0.349962,1.975349,3.597992,-0.048055,0.10904,-0.168222
0.689962,1.505349,4.407997,-0.051055,0.12904,-0.170222
0.959963,1.325349,3.377998,-0.082055,0.13104,-0.171222
1.179962,0.905349,3.957993,-0.109055,0.10904,-0.170222
1.329962,0.795349,4.367996,-0.112055,0.06904,-0.172222
1.579962,1.275349,3.157997,-0.085055,0.08204,-0.176222
1.359962,1.615349,3.697998,-0.025055,0.14704,-0.173222
0.379963,2.395349,3.417992,-0.100055,0.10104,-0.167222
0.639963,1.585349,2.707993,-0.157055,0.14904,-0.173222
0.679962,0.175349,3.277992,-0.158055,0.20004,-0.175222
0.539963,0.375349,3.717995,-0.083055,0.15004,-0.168222
0.199963,2.415349,3.627998,-0.068055,0.08804,-0.167222
0.919962,2.565349,3.197998,0.020945,0.13804,-0.170222
1.109962,2.325349,4.127998,0.037945,0.13704,-0.169222
0.809963,2.695349,2.797997,-0.105055,0.05504,-0.174222
1.779963,0.795349,2.497993,-0.090055,0.09204,-0.184222
1.119963,0.735349,2.327995,-0.115055,0.18104,-0.180222
-0.050037,2.355349,1.247993,-0.160055,0.21104,-0.175222
-0.060038,2.715349,3.327995,-0.106055,0.15304,-0.174222
1.359962,1.125349,3.797997,-5.5e-05,0.19104,-0.177222
0.699963,1.575349,3.347992,-0.145056,0.12904,-0.180222
0.579962,0.285349,3.397995,-0.168056,0.16604,-0.185222
0.369963,-0.224651,4.557999,-0.090055,0.21104,-0.181222
-0.960037,1.665349,4.677994,-0.136055,0.14804,-0.173222
-0.160038,1.075349,3.507996,-0.099055,0.17604,-0.178222
0.539963,0.205349,3.967995,-0.084055,0.17904,-0.183222
0.019962,0.645349,4.297997,-0.132055,0.16004,-0.183222
-0.260038,1.775349,3.407997,-0.155055,0.15304,-0.183222
0.229961,1.845349,3.967995,-0.060055,0.16504,-0.181222
0.429962,2.575349,3.617996,-0.018055,0.15904,-0.179222
0.729961,2.805349,3.547997,-0.013055,0.13104,-0.180222
0.919962,2.385349,4.707993,-0.029055,0.09304,-0.179222
1.039963,2.075349,4.247993,-0.014055,0.14304,-0.178222
0.739962,2.555349,3.827995,-0.021055,0.15604,-0.177222
0.829962,2.565349,4.077995,-0.056055,0.10904,-0.181222
1.569962,1.085349,4.337997,-0.017055,0.14404,-0.185222
0.629963,1.685349,4.427994,-0.049055,0.14804,-0.178222
-0.090038,1.925349,4.297997,-0.049055,0.17304,-0.176222
-0.450037,2.035349,4.407997,-0.055055,0.16704,-0.179222
-0.110037,1.405349,4.337997,-0.020055,0.19904,-0.179222
-0.530037,1.765349,4.747993,-0.074055,0.14004,-0.177222
0.829962,1.555349,3.857994,-0.004055,0.17804,-0.185222
