x,y,z,Mx,My,Mz
-0.229136,0.554029,0.638493,0.029569,-0.001271,-0.004894
0.290864,-0.73597,-0.481506,0.010569,0.058729,-0.011894
-0.889137,-0.02597,-0.281509,-0.103431,0.021729,0.003106
-0.609137,-0.62597,-0.291508,-0.056431,0.038729,-0.002894
0.190864,-1.195971,-0.811508,0.004569,0.060729,-0.005894
-0.919136,0.26403,-0.171509,-0.101431,-0.040271,0.008106
-0.619137,-0.175971,0.328491,-0.063431,-0.010271,-0.005894
0.260863,-1.195971,-0.87151,-0.001431,0.101729,-0.009894
-1.259136,0.47403,-0.281509,-0.123431,0.029729,0.008106
-0.859137,0.22403,0.298492,-0.054431,0.019729,-0.006894
0.930863,-1.10597,-0.111507,0.088569,0.079729,-0.010894
-0.179136,0.47403,-0.221508,-0.037431,-0.005271,0.006106
-0.759136,0.054029,0.44849,-0.077431,0.003729,-0.005894
-0.039137,-1.515971,-0.681507,-0.007431,0.103729,-0.006894
0.000864,-0.48597,-0.55151,-0.035431,0.067729,0.005106
0.320864,0.544029,-0.451508,0.003569,-0.000271,-0.007894
0.370864,1.164029,-0.561508,0.046569,-0.044271,-0.004894
0.690864,0.844029,-0.261509,0.067569,-0.006271,0.002106
0.460864,0.214029,-0.261509,0.036569,0.011729,-0.007894
-0.459137,0.364029,-0.021507,-0.056431,-0.014271,-0.004894
-0.579136,0.254029,0.018494,-0.086431,0.000729,-0.003894
0.810863,-1.015971,-0.89151,0.016569,0.051729,-0.007894
-0.239136,0.534029,-0.011509,-0.049431,-0.064271,0.000106
-0.489136,0.874029,0.438492,-0.032431,-0.045271,-0.010894
0.990864,-0.575971,-0.451508,0.090569,0.078729,-0.008894
0.690864,-0.075971,-0.361507,0.028569,0.024729,0.005106
-0.519136,0.804029,0.308491,-0.097431,-0.072271,-0.009894
0.560863,-0.77597,-0.46151,0.015569,0.028729,-0.013894
0.390863,-0.555971,-0.691509,0.011569,0.022729,0.004106
-0.659136,0.51403,-0.281509,-0.068431,-0.051271,-0.005894
0.350863,-0.27597,-0.381508,0.013569,0.007729,-0.012894
0.710864,-0.055971,-0.46151,0.010569,0.006729,0.003106
0.450864,-0.39597,-0.341507,-0.021431,0.010729,-0.008894
-0.389137,-0.325971,-0.261509,-0.075431,-0.008271,-0.011894
0.000864,-0.555971,-1.191509,-0.062431,0.024729,0.004106
-0.009136,-0.27597,-0.491508,-0.053431,-0.007271,-0.007894
-0.989136,1.43403,0.118492,-0.112431,-0.106271,-0.007894
0.530864,0.08403,0.048492,0.027569,0.007729,-0.000894
1.100863,-0.655971,-0.691509,0.045569,0.053729,-0.009894
-0.649136,1.104029,0.62849,-0.111431,-0.093271,-0.004894
