x,y,z,Mx,My,Mz
-0.553513,-0.023807,0.135315,-0.013492,-0.046257,0.040765
0.406487,-0.793807,0.825317,0.084508,-0.044257,0.039765
0.236486,-0.253807,0.495316,0.050508,-0.072257,0.042765
0.166487,-0.553807,0.415314,-0.002492,-0.075257,0.040765
0.446487,-1.943807,-0.014687,0.025508,0.004743,0.036765
-0.353514,-1.613807,-0.464684,-0.082492,0.034743,0.035765
-0.323513,-1.783807,0.025314,-0.070492,0.039743,0.035765
-0.183514,-1.753807,0.00531,-0.031492,0.024743,0.036765
-0.163513,-1.913806,0.085312,-0.018492,0.036743,0.032765
-0.373512,-1.833807,0.785316,-0.033492,0.038743,0.032765
-0.343513,-1.753807,0.68531,-0.031492,0.039743,0.037765
-0.593513,-1.393806,0.795311,-0.024492,0.032743,0.038765
-0.403513,-1.483807,0.625313,-0.016492,0.038743,0.035765
-0.043512,-1.813807,0.045311,-0.025492,0.043743,0.035765
0.066486,-1.743807,0.575317,-0.011492,0.026743,0.035765
-0.293512,-0.833807,0.515312,0.014508,-0.034257,0.038765
-0.343513,-0.293807,0.175316,0.017508,-0.048257,0.040765
0.186487,-0.743807,-0.094688,0.055508,-0.029257,0.039765
-0.043512,-0.253807,-0.394684,0.032508,-0.044257,0.038765
-0.113514,-0.233807,0.125313,0.039508,-0.027257,0.042765
-0.153513,-0.033807,-0.484688,0.018508,-0.029257,0.038765
0.206488,-0.713807,-0.194687,0.032508,0.010743,0.035765
-0.293512,-0.403807,-0.134689,-0.006492,-0.014257,0.034765
-0.073513,-0.553807,-0.174683,0.024508,0.003743,0.035765
0.876488,-1.283807,0.205315,0.095508,0.053743,0.035765
-0.733513,0.566193,0.315315,-0.022492,-0.053257,0.026765
-0.803513,0.456193,0.285316,-0.020492,-0.048257,0.050765
1.106487,-1.603806,-0.934685,0.086508,0.040743,0.041765
0.046486,-0.073807,-0.664688,0.006508,-0.043257,0.023765
-0.833513,1.056193,-0.144684,-0.025492,-0.071257,0.045765
-0.083513,-0.653807,-0.854683,0.048508,0.012743,0.038765
0.236486,-0.993807,-0.934685,0.092508,0.037743,0.040765
0.356487,-0.573807,-0.31469,0.097508,0.021743,0.034765
-0.543512,0.386193,-0.524689,-0.022492,-0.058257,0.015765
0.906487,-1.083807,-0.344688,0.062508,0.012743,0.045765
1.056486,-1.333807,0.18531,0.064508,0.016743,0.048765
-0.233513,0.086194,0.50531,-0.049492,-0.081257,0.020765
0.286488,-0.143806,0.095314,0.058508,-0.037257,0.047765
1.016487,-0.873806,-0.694687,0.151508,0.047743,0.047765
-0.093513,-0.393806,-0.234688,-0.031492,0.005743,0.021765
0.026487,-1.783807,-0.354683,-0.004492,0.064743,0.029765
-0.533514,-0.863807,0.165314,0.006508,-0.027257,0.036765
0.216486,-1.003807,-0.174683,0.074508,0.011743,0.035765
-0.763514,0.276193,-0.094688,0.045508,-0.032257,0.036765
-0.873512,0.566193,0.145317,0.017508,-0.060257,0.051765
-0.093513,-0.633807,0.015312,0.046508,0.020743,0.042765
0.586487,-0.583807,-0.384689,0.071508,0.039743,0.030765
1.216486,-0.903807,-0.644684,0.111508,0.011743,0.029765
0.116488,-0.013807,0.025314,0.015508,-0.079257,0.023765
-0.393513,0.246193,0.375313,-0.023492,-0.032257,0.050765
-0.413513,-0.303807,0.75531,-0.000492,-0.001257,0.041765
-0.083513,-0.663806,0.395317,0.008508,-0.013257,0.023765
-0.753513,-0.263807,0.095314,-0.013492,-0.026257,0.028765
0.036488,-1.003807,-0.454689,0.028508,-0.015257,0.035765
-0.253513,-0.763807,-0.054688,-0.019492,-0.058257,0.040765
0.346487,-1.673807,0.085312,0.030508,0.014743,0.029765
-0.113514,-1.423807,-0.024689,0.008508,0.004743,0.033765
0.106487,-1.783807,-0.114685,0.011508,0.024743,0.032765
0.596487,-1.293807,0.225311,0.005508,-0.001257,0.038765
0.446487,-1.193807,0.745316,0.017508,0.032743,0.037765
0.016487,-0.433806,0.815315,-0.012492,0.003743,0.031765
0.176487,-0.183806,-0.224686,0.014508,-0.017257,0.036765
0.046486,-1.193807,0.75531,0.034508,0.001743,0.037765
-0.193514,-1.223807,0.695312,-0.025492,-0.009257,0.029765
-0.553513,-1.503807,1.035316,-0.032492,-0.003257,0.035765
-0.323513,-1.473807,0.785316,0.015508,-0.035257,0.038765
0.016487,-1.083807,0.00531,0.029508,-0.035257,0.030765
0.006487,-0.953807,0.425316,0.054508,-0.033257,0.035765
0.376488,-0.053807,-0.574684,0.068508,-0.035257,0.036765
0.686487,-0.393806,-0.324684,0.114508,0.017743,0.034765
-0.143513,-0.283807,0.275314,0.050508,-0.026257,0.035765
0.296486,-1.093807,0.065315,0.061508,0.043743,0.034765
-0.113514,-0.233807,0.595314,0.000508,-0.013257,0.037765
0.006487,0.036193,0.585312,0.050508,-0.049257,0.036765
0.126488,-0.163806,0.865311,0.081508,-0.036257,0.037765
0.666487,-0.913806,0.035316,0.042508,-0.016257,0.035765
